,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,sub,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Sergio Agüero,167,Man City,33,"AM(CL),FW",22,1969,6,1.6,25.1,82.8,0.2,0.2,0.1,7.81,3,21,2,0,3.8,0.4,4,2.2,0.7,0.6,1.7,2.2,0.4,0.2,0.4,0,0.1,0.6,0,0
1,Kevin De Bruyne,167,Man City,30,"M(CLR),FW",36,3085,16,2.9,72.8,83.4,1.6,3.5,0.4,7.80,1,8,2,0,2.5,0.4,8,1.7,0.9,0.1,1.6,1.7,1.7,0.7,0.8,0,0.3,1.5,0.1,0
2,Mohamed Salah,26,Liverpool,29,"AM(CLR),FW",34,2922,10,1.7,26.3,76.7,0.8,0.5,0.1,7.69,2,32,1,0,4,0.4,8,2.2,0.8,0.5,2.6,2.9,0.3,0.1,0.4,0,0.1,0.6,0,0
3,Eden Hazard,15,Chelsea,30,"M(CLR),FW",28,2433,4,2.5,40.3,83.6,0.4,3,0.1,7.69,6,12,2,0,2.1,0.2,9,4.9,2.4,0.5,2.3,1.9,0.2,0.1,0.4,0,0,0.5,0,0
4,Harry Kane,30,Tottenham,28,"AM(C),FW",35,3083,2,0.9,17.8,71.2,0.1,1.6,0.2,7.60,2,30,5,0,5,1.6,9,1.3,1.1,1.1,1.6,1.7,0.5,0.1,0.9,0,0.5,0.3,0.1,0
5,David Silva,167,Man City,35,M(CLR),28,2437,11,2.1,83.8,88.9,0.6,1.5,0.2,7.58,1,9,5,0,1.9,0.6,4,1.3,1.2,0.1,1,1.1,1.1,0.6,0.7,0,0.2,1.2,0.2,0
6,Raheem Sterling,167,Man City,26,"M(CLR),FW",29,2593,11,1.7,35.5,84,0.2,0.2,0.2,7.55,4,18,3,1,2.6,0.2,4,1.9,1.8,0.6,1.8,2,0.6,0.3,1.2,0,0.2,0.9,0,0
7,Leroy Sané,167,Man City,25,"M(CLR),FW",27,2423,15,1.8,34.1,84.2,0.7,0.4,0.1,7.54,5,10,4,0,1.8,0.5,3,2.7,0.8,0.2,2,2.5,0.8,0.4,0.8,0,0.2,0.4,0,0
8,Paul Pogba,32,Man Utd,28,M(CL),25,2151,10,1.4,63.7,85.3,0.1,4.1,0.2,7.48,2,6,5,1,2.8,1.9,4,2.8,1.9,0.1,1.5,2.1,1.2,0.8,1.6,0,0.9,1,0,0
9,Fernandinho,167,Man City,36,"D(CR),DMC",33,2885,3,0.6,87.5,90.1,0,3.1,0.3,7.44,1,5,7,0,1.4,2.8,1,0.6,0.8,0,0.6,1,1.8,1.4,1.2,0.1,1.9,1.2,0.2,0
10,Christian Eriksen,30,Tottenham,29,M(CLR),37,3226,10,2.6,61,82.4,1.4,3.6,0.2,7.40,0,10,0,0,2.6,0.5,4,0.8,0.6,0,1.9,2,1.4,0.8,0.4,0,0.5,1.1,0,0
11,Roberto Firmino,26,Liverpool,30,"M(CLR),FW",32,2778,7,1.5,31.6,72.6,0.1,0.4,0.2,7.39,5,15,1,0,2.3,1.2,3,1.3,0.5,0.4,1.9,2.2,1.8,0.5,1.5,0.1,0.2,1.4,0.1,0
12,Shkodran Mustafi,13,Arsenal,29,D(CR),25,2274,1,0.3,64.2,86.2,0.1,2.7,0,7.38,2,3,6,0,0.5,4.5,3,0,0.4,0.1,0.1,0.3,2.4,2.1,1,0.7,6.3,1,0.6,0
13,Wilfried Zaha,162,Crystal Palace,28,"AM(LR),FW",28,2551,3,1.8,21.5,75.3,0.5,0.3,0.1,7.38,1,9,5,0,2.2,0.1,3,4.1,2.6,0.7,3.8,3.7,1,0.2,1.6,0,0,0.7,0,0
14,Alexis Sánchez,13,Arsenal,32,"M(CLR),FW",17,1508,3,2.7,45.9,72.4,0.5,2.6,0.4,7.33,2,7,4,0,3.6,0.8,3,2.1,2.3,0.8,2.5,3.4,1.1,0.3,1.1,0,0,1.3,0.1,0
15,James Tomkins,162,Crystal Palace,32,D(CR),27,2388,0,0,31.7,81.8,0,2.7,0,7.31,1,3,8,0,0.8,4.1,3,0.2,0.5,0,0.1,0.3,1.7,2.3,0.7,0.5,7.6,0.5,0.4,0
16,Romelu Lukaku,32,Man Utd,28,"AM(R),FW",33,2869,7,1,21.2,68.4,0.3,0.6,0.1,7.29,1,16,4,0,2.5,3.2,2,1,0.5,0.5,1.4,2.2,0.2,0.1,0.9,0,0.6,0.4,0.1,0
17,Riyad Mahrez,14,Leicester,30,AM(CLR),34,2961,10,1.6,35.4,79.6,1,3,0.2,7.28,2,12,2,0,2,0.8,5,2.3,1.6,0.3,1.8,2.6,1.1,0.5,0.6,0,0.3,1.5,0,0
18,Emre Can,26,Liverpool,27,"D(CLR),DMC",24,2094,4,1,59.3,85.5,0.2,2.9,0.2,7.28,2,3,8,0,1,1.8,2,0.9,1,0,0.6,1.2,2.6,1.1,1,0,1.2,1,0.2,0
19,Sadio Mané,26,Liverpool,29,"AM(CLR),FW",28,2207,7,1.7,33.2,80.4,0.2,0.8,0.2,7.27,1,10,3,1,2.4,0.9,1,1.9,1.7,0.4,1.7,2.4,1,0.3,0.8,0.1,0.2,0.7,0,0
20,Aaron Ramsey,13,Arsenal,30,M(CLR),21,1848,8,1.2,51.6,84.9,0.1,1.8,0.2,7.27,3,7,0,0,2.3,0.4,1,1.2,1.4,0,1.5,2,1.5,1,1.2,0,0.3,1.5,0.1,0
21,Jan Vertonghen,30,Tottenham,34,D(CL),36,3205,0,0.3,69.1,86.3,0.1,4.5,0,7.26,0,0,4,0,0.7,3.3,3,0.8,0.7,0,0.2,0.5,1.8,1.7,0.6,0.8,4.7,0.3,0.3,0
22,Mesut Özil,13,Arsenal,33,M(CLR),24,2164,8,3.2,69.6,86.5,1,2.2,0.3,7.25,2,4,4,0,1.5,0,2,1.4,0.8,0.5,1.2,1.6,0.8,0.5,0.7,0,0.2,0.7,0,0
23,N'Golo Kanté,15,Chelsea,30,DMC,34,2998,1,1.2,63.3,89.3,0.1,2.6,0.1,7.25,0,1,3,0,0.7,0.5,1,1.4,0.4,0,1.2,1.3,3.3,2.5,1.2,0,0.8,1.7,0.1,0
24,Chris Smalling,32,Man Utd,31,D(CR),28,2536,0,0.1,39.2,87.6,0,1.5,0,7.24,1,4,4,0,0.4,3.7,1,0.1,0.5,0.1,0.1,0.2,1.4,2.2,0.8,0.2,5.5,0.4,1,0
25,James Tarkowski,184,Burnley,28,D(C),31,2790,0,0.2,35.2,73.1,0.1,3.8,0,7.22,0,0,5,0,0.6,4.7,4,0.4,0.8,0.1,0.2,0.4,1.5,1.6,0.8,0.7,7.1,0.7,1.4,0
26,Phil Jones,32,Man Utd,29,"D(CR),DMC",23,1975,0,0.1,47.1,91.2,0,2.3,0,7.21,0,0,2,0,0.1,2.5,2,0.3,1,0,0,0.3,1.1,1.8,0.4,0.4,5.6,0.5,0.7,1
27,Nemanja Matic,32,Man Utd,33,DMC,35,3119,1,0.7,72.3,87.7,0.1,4.9,0,7.20,1,1,6,0,0.5,1.6,0,1.5,0.6,0.1,0.9,1,1.9,1.8,0.9,0.1,1.6,1.3,0.4,0
28,César Azpilicueta,15,Chelsea,32,"D(CLR),M(R)",37,3330,6,0.8,74.6,86.7,0.4,3.4,0.2,7.18,0,2,1,0,0.4,2.2,1,0.2,0.4,0,0.2,0.4,2.2,1.5,0.7,0.4,3.2,0.7,0.6,1
29,Shane Duffy,211,Brighton,29,D(C),37,3294,1,0.2,36.7,76.4,0.1,3.6,0,7.18,0,0,8,0,0.8,5.4,3,0.2,0.7,0.2,0.1,0.4,0.8,1.4,0.9,0.4,8.8,0.4,1.6,0
30,Fabian Delph,167,Man City,31,"D(L),M(CL)",21,1746,2,0.5,73.4,93,0.1,2.4,0,7.16,1,1,2,0,0.5,1,1,1.4,0.8,0,0.5,0.9,2.1,1.4,0.7,0.3,1.6,0.9,0,0
31,Wilfred Ndidi,14,Leicester,24,DMC,33,2899,3,0.4,51,76.1,0,2.4,0.1,7.14,0,0,6,2,1.2,3.5,2,1,0.8,0,1.3,1.2,4.2,1.5,1.8,0,2.9,2.2,0.3,0
32,Nicolás Otamendi,167,Man City,33,D(C),33,2968,0,0.4,90.4,91.9,0,4.3,0,7.13,1,4,9,0,0.9,2.3,5,0.1,0.6,0,0,0.6,1.7,1.4,0.8,0.9,3.6,0.7,0.3,1
33,Marcos Alonso,15,Chelsea,30,"D(CL),M(L)",33,2860,2,1,40.8,79.4,0.5,1.2,0,7.13,0,7,6,0,2,1.8,3,0.5,0.9,0.2,0.7,1.3,1.5,1.4,0.8,0.1,1.8,0.6,0.2,0
34,Nacho Monreal,13,Arsenal,35,"D(CL),M(L)",26,2244,2,0.5,61.4,89.5,0.2,1.6,0,7.13,2,5,3,0,0.8,2.2,2,0.2,0.6,0.1,0.2,0.3,1.9,2,0.7,0.2,2.6,1,0.3,0
35,Ben Mee,184,Burnley,32,D(CL),29,2610,0,0.2,36.9,76.4,0,3.9,0,7.12,0,0,5,0,0.9,4,2,0.1,1,0.1,0.1,0.3,1.1,1.1,0.5,0.3,7.2,0.4,1.4,0
36,Kurt Zouma,96,Stoke,26,D(CR),32,2888,0,0.2,30,78.3,0,2.5,0,7.12,2,1,1,0,0.6,3.2,3,0.6,0.6,0,0.5,0.4,1.5,1.8,0.6,0.6,6.8,0.2,0.7,0
37,Ashley Young,32,Man Utd,36,"D(LR),M(LR)",28,2448,4,0.9,42.8,79.5,1.1,3.2,0,7.12,2,2,7,0,0.6,0.6,4,1,1.2,0,0.6,0.6,1.8,1.9,1,0.2,2.4,1,0.2,0
38,Andros Townsend,162,Crystal Palace,30,"AM(LR),FW",35,3129,7,1.8,28.4,78.6,1.3,0.9,0.1,7.11,1,2,3,0,1.7,0.1,1,2.3,1.3,0.2,2,2.4,1.7,1,0.3,0,0.6,1.4,0,0
39,Joe Gomez,26,Liverpool,24,D(CLR),21,1901,2,0.7,58.1,84.5,0.4,2.1,0,7.11,2,0,3,0,0.2,1.4,0,1,0.4,0,0.6,0.7,2.5,1.5,0.7,0.2,2.1,0.8,0.3,0
40,Christopher Schindler,166,Huddersfield,31,D(C),37,3266,1,0.2,37.5,81.4,0,2.5,0,7.11,0,0,6,1,0.3,4.2,3,0.1,0.6,0,0,0.2,2.2,2,0.8,0.7,7.2,0.5,0.8,0
41,Cesc Fàbregas,15,Chelsea,34,"M(CL),FW",25,2309,4,2.8,68.4,83.5,1.3,4,0.3,7.10,7,2,4,1,1.2,0.3,3,0.6,0.7,0.2,0.8,0.7,2.1,0.7,0.8,0,0.7,1.6,0.1,0
42,Ryan Shawcross,96,Stoke,34,D(C),27,2372,1,0.1,24.7,67.3,0,2.1,0,7.09,0,1,2,0,0.9,5.7,0,0.1,0.7,0.1,0,0.1,1.3,1.4,1,0.6,8,0.4,0.9,1
43,Dele Alli,30,Tottenham,25,"M(CL),FW",34,2972,10,1.8,34.8,77.2,0.1,1.1,0.2,7.09,2,9,7,0,1.9,0.8,1,1.2,2.3,0.1,2.5,2.7,1.3,0.5,1.2,0,0.5,0.7,0.2,0
44,Alexandre Lacazette,13,Arsenal,30,"M(LR),FW",26,2212,4,1.1,22.6,76.7,0.1,0.3,0,7.09,6,14,1,0,2.1,0.9,1,1,0.9,0.7,1.6,1.9,0.8,0.2,0.9,0,0.1,0.7,0.1,0
