,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,sub,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Eden Hazard,15,Chelsea,30,"M(CLR),FW",36,3007,5,2.4,48.6,84.2,0.5,3.2,0.1,7.81,0,16,3,0,2.1,0.6,13,4,2.8,0.2,1.7,2,0.5,0.8,0.5,0,0.1,0.4,0,0
1,Alexis Sánchez,13,Arsenal,32,"M(CLR),FW",36,3224,10,2.1,43.3,73.6,0.4,2,0.2,7.76,2,24,6,0,3.4,0.4,10,2.9,1.8,0.7,3.4,2.5,1.4,0.7,1.3,0,0.1,0.7,0,0
2,Paul Pogba,32,Man Utd,28,M(CL),29,2610,4,1.9,72.6,85.1,0.2,5.4,0.4,7.72,1,5,7,0,3.1,2.8,4,2.4,2.4,0.1,1.8,2.6,1.8,1,2.1,0.1,1.4,1,0.1,0
3,Harry Kane,30,Tottenham,28,"AM(C),FW",29,2536,7,1.4,19.9,71.7,0.2,0.6,0,7.68,1,29,3,0,3.7,1.5,7,1.3,1.5,0.6,1.6,2.8,0.7,0.1,0.8,0,0.7,0.3,0,0
4,Philippe Coutinho,26,Liverpool,29,M(CLR),28,2245,7,2.1,45.2,83.9,1.2,2.3,0.2,7.56,3,13,2,0,3.4,0.2,8,2.3,1.2,0.1,1.8,1.8,1.1,0.6,0.6,0,0.2,1.5,0,0
5,Kevin De Bruyne,167,Man City,30,"M(CLR),FW",33,2885,18,2.9,50.1,82,2.3,2.3,0.4,7.55,3,6,4,0,2.4,0.4,9,1.4,1.1,0.1,1.3,1.6,1.4,0.6,1,0,0.2,1.8,0,0
6,Roberto Firmino,26,Liverpool,30,"M(CLR),FW",34,3069,7,2.2,44.1,79.4,0.3,0.9,0.1,7.54,1,11,5,0,2.9,1.8,5,2,0.9,0.5,2.3,2.3,1.7,0.7,1.5,0,0.4,1.5,0.1,0
7,Christian Eriksen,30,Tottenham,29,M(CLR),36,3167,15,3.1,54.9,80.2,1.5,3,0.2,7.53,0,8,0,0,3.7,0.6,7,0.8,0.7,0.1,1.4,1.5,1.3,0.6,0.6,0,0.6,1.3,0,0
8,Sadio Mané,26,Liverpool,29,"AM(CLR),FW",26,2248,5,1.6,37.8,77.5,0.3,0.9,0,7.51,1,13,4,0,2.1,1.6,2,2.5,2,0.5,2.7,2.2,0.9,0.3,1.2,0,0.4,0.7,0,0
9,Romelu Lukaku,31,Everton,28,"AM(R),FW",36,3267,6,1.3,26.1,65.5,0.2,0.5,0.1,7.50,1,25,3,0,3,3.7,6,1.7,0.9,1,2.4,2.1,0.2,0,0.9,0,0.7,0.4,0.1,0
