,player_name,team_number,team_name,age,position,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Anthony Elanga,32,Man Utd,20, AM(LR)  ,5(8),397,0.2,0.1,0.2,0,0.2,0.1,0,0,6.29
1,Jacob Murphy,23,Newcastle,27," D(R),M(LR)  ",5(13),521,0.4,0.1,0.4,0,0.1,0.3,0,0,6.29
2,Sékou Mara,18,Southampton,20, FW  ,3(9),286,0.8,0,0.6,0,0.2,0.3,0,0,6.28
3,Orel Mangala,174,Nottingham Forest,24, M(C)  ,6(4),467,0.9,0.4,0.7,0,0.2,0.6,0,0,6.27
4,Kieran Tierney,13,Arsenal,25," D(CL),M(L)  ",4(10),450,0.6,0.6,0.3,0,0.9,0.1,0.1,0,6.27
5,Neal Maupay,31,Everton,26," AM(C),FW  ",7(6),683,0.5,0.1,0.6,0,0,0,0,0,6.27
6,Nathaniel Clyne,162,Crystal Palace,31," D(LR),M(R)  ",10(1),829,1.3,1,0.4,0.1,1.5,0.3,0.1,0,6.27
7,Armando Broja,15,Chelsea,21, FW  ,2(10),290,0.3,0.1,0.2,0,0.1,0,0.1,0,6.26
8,Tom Cairney,170,Fulham,31, M(CR)  ,1(17),405,0.6,0.1,0.2,0,0.1,0,0.1,0,6.25
9,Stuart Armstrong,18,Southampton,30, AM(CLR)  ,7(10),763,0.8,0.2,0.6,0,0.4,0.8,0,0,6.25
0,Mark Travers,183,Bournemouth,23, GK  ,10(1),945,0,0,0,0,0.9,0,0,0,6.24
1,Dan James,170,Fulham,25," AM(CLR),FW  ",3(7),344,0.4,0.1,0.1,0,0.3,0.3,0.1,0,6.23
2,Jesse Lingard,174,Nottingham Forest,30," AM(CLR),FW  ",11(3),867,0.2,0.3,0.6,0,0.3,0.1,0,0,6.20
3,Emmanuel Dennis,174,Nottingham Forest,25," M(LR),FW  ",3(7),370,0.5,0,0.6,0,0.1,0.1,0,0,6.20
4,Hwang Hee-Chan,161,Wolves,26," AM(CLR),FW  ",6(8),531,0.6,0.1,0.6,0,0.1,0.4,0,0,6.19
5,Tariq Lamptey,211,Brighton,22," D(R),M(R)  ",1(13),297,0.6,0.4,0.3,0,0.1,0.1,0.1,0,6.18
6,Ibrahima Diallo,18,Southampton,23, DMC  ,7(3),498,1,0.3,1.1,0,0.6,0.2,0,0,6.16
7,Kelechi Iheanacho,14,Leicester,26," AM(C),FW  ",1(12),267,0,0,0.2,0,0.1,0.1,0.1,0,6.16
8,Jean-Philippe Mateta,162,Crystal Palace,25, FW  ,2(11),321,0.2,0.1,0.7,0,0.6,0.2,0.1,0,6.16
9,Joe Gelhardt,19,Leeds,20, FW  ,1(13),189,0.4,0,0.4,0,0.3,0.1,0,0,6.13
0,Lyanco,18,Southampton,25, D(C)  ,5(5),496,0.9,0.7,0.6,0.3,2,0.3,0.7,0,6.13
1,Mateusz Klich,19,Leeds,32, M(C)  ,0(14),266,0.9,0,0.7,0,0.1,0.4,0,0,6.12
2,Sam Surridge,174,Nottingham Forest,24, FW  ,1(10),187,0.4,0,0.5,0,0.5,0.3,0.2,0,6.12
3,Patrick Bamford,19,Leeds,29," AM(CLR),FW  ",4(6),429,0.3,0,0.7,0,0.5,0.7,0.1,0,6.11
4,Abdoulaye Doucouré,31,Everton,30, M(C)  ,2(8),223,0.6,0,0.3,0,0.2,0.2,0,0,6.06
5,Will Hughes,162,Crystal Palace,27, M(CLR)  ,0(11),109,0.5,0,0.4,0,0.1,0.2,0.2,0,6.05
6,Carlos Vinícius,170,Fulham,27, FW  ,3(7),330,0,0,0.6,0,0.3,0,0,0,6.05
