,player_name,team_number,team_name,age,position,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
9,Morgan Gibbs-White,174,Nottingham Forest,22," AM(CR),FW  ",14(1),1200,0.7,0.5,0.7,0,0.2,0.3,0.1,0,6.69
0,Mathias Jensen,189,Brentford,27, M(C)  ,18,1338,2,0.9,0.8,0,0.6,1.4,0,0,6.69
1,Nathan Aké,167,Man City,27," D(CL),DMC  ",10(1),841,0.7,0.6,0.4,0.6,1,0.3,0.3,0,6.69
2,Armel Bella-Kotchap,18,Southampton,21, D(C)  ,13,1030,1.5,2.1,0.5,0.3,4.5,0.1,0.5,0,6.69
3,Neco Williams,174,Nottingham Forest,21," D(LR),M(LR)  ",12(6),1102,2.5,1.5,1.1,0.1,1.1,0.9,0.3,0,6.68
4,Amadou Onana,31,Everton,21, DMC  ,14(2),1218,2.6,0.8,1.6,0,1.3,0.3,0.2,0,6.68
5,Aaron Cresswell,29,West Ham,33," D(CL),M(L)  ",16(1),1444,0.8,1.1,0.5,0.1,2.2,0.6,0.5,0,6.68
6,Che Adams,18,Southampton,26," AM(CL),FW  ",15(2),1337,0.7,0.2,1.4,0.1,0.9,0.1,0.1,0,6.67
7,Christian Eriksen,32,Man Utd,30," M(CLR),FW  ",15(1),1254,0.7,0.3,0.5,0,0.9,0.6,0.3,0,6.67
8,Ollie Watkins,24,Aston Villa,27," AM(LR),FW  ",16(1),1419,0.6,0.3,0.7,0.1,0.9,0.5,0,0,6.67
9,Liam Cooper,19,Leeds,31, D(C)  ,10(1),927,2.1,2.2,0.6,0.6,3.5,0.6,0.2,0,6.66
0,Douglas Luiz,24,Aston Villa,24, M(C)  ,13(4),1168,1.8,1.1,1.1,0,0.4,0.5,0.1,0,6.66
1,Mohammed Salisu,18,Southampton,23, D(CL)  ,17,1530,2.4,1.2,1.1,0.5,4.8,0.4,0.9,1,6.66
2,Marc Cucurella,15,Chelsea,24," D(CL),M(L)  ",14(2),1099,2.2,0.6,0.6,0.1,1.4,0.9,0.3,0,6.66
3,Issa Diop,170,Fulham,25, D(C)  ,8(3),783,1.1,0.8,0.4,0.6,2.2,0.2,0.4,0,6.66
4,Kurt Zouma,29,West Ham,28, D(CR)  ,14,1185,0.3,0.9,0.4,0.3,4.8,0.2,0.4,0,6.65
5,Marc Roca,19,Leeds,26, DMC  ,16(1),1255,2.2,0.9,1,0.1,0.7,1.1,0.4,0,6.65
6,Demarai Gray,31,Everton,26," AM(CLR),FW  ",17(1),1503,0.8,0.5,0.6,0,0.6,0.2,0.1,0,6.64
7,Bobby De Cordova-Reid,170,Fulham,29," D(R),M(CLR),FW  ",17,1425,1.5,0.7,1.4,0.2,1,0.5,0.1,0,6.64
8,Leon Bailey,24,Aston Villa,25," M(CLR),FW  ",14(3),1075,0.5,0.1,1.1,0,0.3,0.4,0,0,6.64
