,player_name,team_number,team_name,age,position,Apps,Mins,Goals,Assists,SpG,KeyP,Dribble,Fouled,Off,Disp,UnsTch,Rating
3,Illan Meslier,19,Leeds,22, GK  ,17,1530,0,0,0,0,0,0.1,0,0,0,6.72
4,John Stones,167,Man City,28, D(CR)  ,11(1),1001,0,2,0.6,0.4,0.3,0.4,0.1,0.2,0.3,6.72
5,Kiernan Dewsbury-Hall,14,Leicester,24, M(C)  ,16(1),1319,2,2,0.9,1.4,0.9,0.9,0,0.9,2.6,6.72
6,César Azpilicueta,15,Chelsea,33," D(CLR),M(R)  ",9(5),889,0,0,0.3,0.7,0.3,0.3,0.1,0.2,0.4,6.72
7,Vicente Guaita,162,Crystal Palace,35, GK  ,17,1530,0,0,0,0,0,0.1,0,0,0.1,6.71
8,Wout Faes,14,Leicester,24, D(C)  ,12,1080,0,0,0.3,0.3,0.1,0.4,0,0.3,0.8,6.71
9,Danny Welbeck,211,Brighton,32," AM(CLR),FW  ",11(2),998,0,2,2,1,0.5,0.4,0.2,0.7,3.1,6.70
0,Alex Iwobi,31,Everton,26, M(CLR)  ,18,1603,1,5,0.9,1.6,0.8,0.3,0.2,1.3,2,6.70
1,David de Gea,32,Man Utd,32, GK  ,17,1530,0,0,0,0.1,0,0.1,0,0,0,6.70
2,Aaron Ramsdale,13,Arsenal,24, GK  ,17,1530,0,0,0,0,0.1,0.2,0,0,0,6.70
3,Dominic Solanke,183,Bournemouth,25, FW  ,15(1),1348,3,3,1.9,0.6,0.9,1.6,0.3,2,3.4,6.70
4,Matt Doherty,30,Tottenham,30," D(LR),M(LR)  ",6(5),596,1,0,0.9,0.5,0.5,0.4,0,0.3,0.9,6.70
5,Jordan Ayew,162,Crystal Palace,31," AM(CLR),FW  ",14(3),1161,1,1,0.7,0.9,1.2,2.4,0,1.8,2.8,6.69
6,Hugo Lloris,30,Tottenham,36, GK  ,17,1530,0,0,0,0,0,0.1,0,0,0.1,6.69
7,Tyler Adams,19,Leeds,23," D(R),M(CR)  ",15,1347,0,0,0.1,1.3,0.1,0.9,0,0.5,1.3,6.69
8,Fabinho,26,Liverpool,29," D(CR),DMC  ",13(3),1178,0,0,0.4,0.3,0.1,0.6,0,0.3,0.7,6.69
9,Morgan Gibbs-White,174,Nottingham Forest,22," AM(CR),FW  ",14(1),1200,2,2,1.7,1.6,0.9,0.9,0,1.5,2.5,6.69
0,Mathias Jensen,189,Brentford,27, M(C)  ,18,1338,1,4,0.5,1.3,0.4,0.6,0.1,0.9,1.8,6.69
1,Nathan Aké,167,Man City,27," D(CL),DMC  ",10(1),841,0,0,0.4,0.4,0.2,0.7,0.1,0,0.6,6.69
2,Armel Bella-Kotchap,18,Southampton,21, D(C)  ,13,1030,0,1,0.8,0.2,0.2,1.5,0,0.4,0.7,6.69
3,Neco Williams,174,Nottingham Forest,21," D(LR),M(LR)  ",12(6),1102,0,0,1.1,0.7,0.7,0.7,0.1,0.8,0.9,6.68
4,Amadou Onana,31,Everton,21, DMC  ,14(2),1218,0,1,1,0.4,0.6,1.7,0,0.4,1.5,6.68
5,Aaron Cresswell,29,West Ham,33," D(CL),M(L)  ",16(1),1444,0,0,0.4,1.8,0.1,0.3,0.1,0.4,0.2,6.68
6,Che Adams,18,Southampton,26," AM(CL),FW  ",15(2),1337,4,1,2,1.1,0.6,0.9,0.3,0.8,3,6.67
7,Christian Eriksen,32,Man Utd,30," M(CLR),FW  ",15(1),1254,1,6,1.4,1.4,0.1,0.3,0.1,0.7,0.9,6.67
8,Ollie Watkins,24,Aston Villa,27," AM(LR),FW  ",16(1),1419,3,4,2.1,0.9,0.4,0.9,0.6,1.6,2.5,6.67
9,Liam Cooper,19,Leeds,31, D(C)  ,10(1),927,1,0,0.8,0.4,0,0.5,0,0.1,0.7,6.66
0,Douglas Luiz,24,Aston Villa,24, M(C)  ,13(4),1168,2,3,0.8,1.1,0.2,1,0,0.6,0.9,6.66
1,Mohammed Salisu,18,Southampton,23, D(CL)  ,17,1530,0,1,0.6,0.3,0.4,0.2,0,0.5,0.2,6.66
2,Marc Cucurella,15,Chelsea,24," D(CL),M(L)  ",14(2),1099,0,2,0.3,0.4,0.3,0.7,0.1,0.3,0.8,6.66
3,Issa Diop,170,Fulham,25, D(C)  ,8(3),783,1,0,0.3,0.1,0.2,0.2,0,0,0.4,6.66
4,Kurt Zouma,29,West Ham,28, D(CR)  ,14,1185,1,0,0.7,0,0,0.2,0,0,0.3,6.65
5,Marc Roca,19,Leeds,26, DMC  ,16(1),1255,1,1,0.8,0.8,0.5,0.8,0,0.6,0.6,6.65
6,Demarai Gray,31,Everton,26," AM(CLR),FW  ",17(1),1503,3,0,1.9,1.2,0.8,1.4,0.4,1.9,2.9,6.64
7,Bobby De Cordova-Reid,170,Fulham,29," D(R),M(CLR),FW  ",17,1425,4,1,1.1,0.8,0.4,0.5,0.1,1.1,1.6,6.64
8,Leon Bailey,24,Aston Villa,25," M(CLR),FW  ",14(3),1075,3,2,1.4,0.9,1.2,0.7,0.4,1.6,1.6,6.64
9,Anthony Gordon,31,Everton,21, AM(LR)  ,12(3),1076,3,0,1.7,0.5,0.5,1,0.2,1.5,2.1,6.64
0,Manuel Akanji,167,Man City,27, D(CR)  ,10(1),927,0,1,0.8,0.3,0.3,0.4,0,0.2,0.4,6.62
1,Joe Gomez,26,Liverpool,25, D(CLR)  ,9(5),900,0,0,0.2,0.1,0.3,0.3,0,0.1,0.6,6.62
2,Joe Aribo,18,Southampton,26," M(CLR),FW  ",11(7),1086,2,0,0.7,0.5,0.9,0.6,0,1,1.7,6.62
3,Joël Veltman,211,Brighton,30," D(CR),M(R)  ",13(2),1111,0,1,0.3,0.2,0.2,0.9,0,0.3,0.5,6.61
4,Tosin Adarabioyo,170,Fulham,25, D(CR)  ,11(1),991,1,0,0.3,0.1,0.2,0.2,0,0.3,0.1,6.61
5,Emiliano Buendía,24,Aston Villa,26, M(CLR)  ,10(8),985,2,0,1.3,0.9,0.4,0.8,0.1,1.2,1.6,6.61
6,Ben Davies,30,Tottenham,29," D(CL),M(L)  ",12(3),1090,2,1,0.5,0.7,0.1,0.3,0,0.3,0.7,6.61
7,Saïd Benrahma,29,West Ham,27, AM(CLR)  ,9(7),939,3,1,2.1,1.3,1.6,0.5,0.2,1,1.9,6.61
8,Ashley Young,24,Aston Villa,37," D(LR),M(LR)  ",10(4),952,1,0,0.5,0.6,0.2,0.6,0,0.1,0.4,6.61
9,Vitaliy Mykolenko,31,Everton,23," D(CL),M(L)  ",18,1555,0,0,0.3,0.7,0.3,0.6,0,0.3,0.7,6.60
0,Sean Longstaff,23,Newcastle,25, DMC  ,14(4),1322,1,2,0.8,0.7,0.1,0.9,0.1,1,0.9,6.60
1,Idrissa Gueye,31,Everton,33, M(C)  ,12(1),967,0,1,0,0.4,0.3,1.9,0,0.4,0.9,6.60
2,Lucas Digne,24,Aston Villa,29," D(CL),M(L)  ",12(1),1059,1,0,0.5,0.9,0,1.5,0.2,0.6,1.2,6.60
3,Daniel Amartey,14,Leicester,28," D(CR),DMC  ",13(2),1184,0,0,0.2,0.3,0.1,0.2,0,0.3,0.3,6.59
4,Tyrone Mings,24,Aston Villa,29, D(CL)  ,16,1440,0,1,0.1,0.2,0.1,0.6,0.1,0.1,0.3,6.59
5,Harvey Barnes,14,Leicester,25, AM(CL)  ,16,1342,6,0,2.3,0.4,0.7,1.1,0.2,1.5,3,6.59
6,Antonee Robinson,170,Fulham,25," D(L),M(L)  ",16,1379,0,0,0.1,0.6,0.7,0.6,0.1,0.6,1.3,6.59
7,João Moutinho,161,Wolves,36, M(C)  ,14(2),1210,0,2,0.6,1.5,0.2,0.6,0.1,0.3,0.6,6.59
8,Boubacar Kamara,24,Aston Villa,23," D(CL),DMC  ",11(1),936,0,0,0.3,0.3,0.3,1.3,0,0.6,0.8,6.59
9,Kyle Walker-Peters,18,Southampton,25," D(LR),M(R)  ",14,1225,1,0,0.4,0.7,1.2,1.6,0,2,1.2,6.59
0,Ederson,167,Man City,29, GK  ,17,1530,0,1,0,0.1,0,0.1,0,0,0,6.59
1,José Sá,161,Wolves,29, GK  ,18,1620,0,0,0,0,0,0.2,0,0,0.1,6.59
2,Jadon Sancho,32,Man Utd,22, AM(CLR)  ,10,723,2,1,0.7,1.4,0.7,0.5,0.3,0.5,2.3,6.58
3,Jarrod Bowen,29,West Ham,26," AM(CLR),FW  ",18,1613,2,0,2.1,1.4,0.4,2,0.3,1.4,1.8,6.58
4,Tyrell Malacia,32,Man Utd,23, D(L)  ,8(3),747,0,0,0.3,0.1,0.2,0.6,0,0.3,1,6.58
5,John McGinn,24,Aston Villa,28, M(CR)  ,14(3),1227,0,1,1.2,0.5,0.6,1.5,0,1,1.6,6.58
6,Rico Henry,189,Brentford,25," D(L),M(L)  ",18,1617,0,1,0.4,0.6,0.6,1,0.1,1.3,1.6,6.58
7,Clément Lenglet,30,Tottenham,27, D(C)  ,10(1),839,0,2,0.6,0.4,0.1,0.8,0,0.1,0.5,6.58
8,Odsonne Édouard,162,Crystal Palace,24," AM(L),FW  ",9(6),804,3,2,1.3,0.8,0.4,0.5,0.3,1.6,1.7,6.58
9,Dwight McNeil,31,Everton,23, AM(CLR)  ,10(7),849,2,1,0.7,0.6,0.8,0.4,0.1,0.8,1.1,6.58
0,Crysencio Summerville,19,Leeds,21, AM(R)  ,5(7),551,4,1,0.9,0.5,0.5,1.4,0.2,1.2,1.7,6.57
1,Harrison Reed,170,Fulham,27," D(R),M(CR)  ",17,1422,2,1,0.7,1.2,0.3,0.6,0.1,0.6,1.2,6.57
2,Danny Ings,24,Aston Villa,30," AM(C),FW  ",8(9),761,6,0,1.5,0.5,0.5,0.3,0.5,0.8,0.9,6.57
3,Emerson Royal,30,Tottenham,23," D(R),M(R)  ",11(3),926,0,1,0.6,0.4,0.6,1.1,0,0.6,1.1,6.57
4,Jacob Ramsey,24,Aston Villa,21, AM(C)  ,12(3),1026,2,2,0.7,0.8,0.3,1.5,0.1,0.9,2,6.57
5,Daniel Podence,161,Wolves,27," AM(CLR),FW  ",15(3),1222,4,0,1.6,1.4,0.7,1,0.1,1.4,1.9,6.56
6,Patson Daka,14,Leicester,24, FW  ,9(7),702,3,3,1.2,0.6,0.3,0.4,0.3,0.5,1.9,6.56
7,Rayan Aït-Nouri,161,Wolves,21," D(L),M(L)  ",7(6),746,1,0,0.7,0.5,1.2,0.5,0.2,0.5,1.2,6.56
8,Boubakary Soumaré,14,Leicester,23, DMC  ,12(2),845,0,0,0.1,0.1,0.3,0.7,0,0.8,0.7,6.56
9,Harvey Elliott,26,Liverpool,19, AM(CR)  ,12(5),1017,1,1,1.1,0.9,0.7,1.1,0.1,0.8,1.1,6.56
0,Brenden Aaronson,19,Leeds,22, AM(CLR)  ,17,1432,1,2,1.3,1.7,1.2,2.1,0.2,2.8,2.4,6.56
1,Maximilian Kilman,161,Wolves,25, D(C)  ,18,1620,0,0,0.3,0,0.3,0.3,0,0.3,0.5,6.55
2,Pervis Estupiñán,211,Brighton,24, D(L)  ,11(3),905,0,0,0.4,1.1,0.1,0.7,0.1,0.9,0.8,6.55
3,Nathan Collins,161,Wolves,21, D(CR)  ,15,1293,0,0,0.1,0.1,0.4,0.4,0.1,0.3,0.5,6.55
4,Jorginho,15,Chelsea,31, DMC  ,13(2),1068,2,0,0.3,0.4,0.1,1.3,0,0.5,0.9,6.55
5,Lewis Cook,183,Bournemouth,25, M(CL)  ,16(2),1453,0,2,0.3,1.2,0.3,0.4,0,0.8,0.7,6.55
6,Jonny,161,Wolves,28," D(CLR),M(LR)  ",11(2),1007,0,0,0.6,0.2,0.9,1.2,0.1,0.9,0.8,6.54
7,Nathan Patterson,31,Everton,21," D(R),M(R)  ",11(2),988,0,0,0.6,0.3,0.6,0.8,0.1,0.7,1.5,6.54
8,Dean Henderson,174,Nottingham Forest,25, GK  ,17,1530,0,0,0,0,0,0.1,0,0,0.1,6.54
9,Scott McTominay,32,Man Utd,26," D(C),DMC  ",6(6),637,0,0,0.5,0.3,0.7,0.3,0,0.6,1.1,6.54
0,Davinson Sánchez,30,Tottenham,26, D(C)  ,6(5),553,0,0,0.4,0.1,0.1,0.4,0.1,0.2,0.2,6.53
1,Ruben Loftus-Cheek,15,Chelsea,26, M(CLR)  ,12(2),958,0,0,0.6,0.5,0.9,1.9,0.1,1,1.4,6.53
2,Jordan Henderson,26,Liverpool,32," D(C),M(CLR)  ",9(5),816,0,0,0.9,0.9,0.1,0.2,0,0.4,0.4,6.53
3,Richarlison,30,Tottenham,25," AM(CLR),FW  ",5(5),438,0,2,1.3,0.9,0.4,1,0.3,0.9,1.7,6.52
4,Jeffrey Schlupp,162,Crystal Palace,30," D(L),M(CLR)  ",15(2),1330,0,0,0.8,0.4,0.5,0.8,0,0.9,0.9,6.52
5,Marc Guéhi,162,Crystal Palace,22, D(C)  ,16,1440,0,0,0.3,0.1,0.1,1.3,0,0.2,0.3,6.52
6,Mohamed Elyounoussi,18,Southampton,28," AM(CLR),FW  ",15(2),1246,0,1,1.5,0.7,0.6,0.7,0.1,1.4,1.2,6.52
7,Gianluca Scamacca,29,West Ham,24, FW  ,11(4),915,3,0,1.9,0.8,0.4,0.7,0.4,1.1,1.5,6.52
8,Robert Sánchez,211,Brighton,25, GK  ,17,1530,0,0,0,0,0,0,0,0,0,6.52
9,Josh Dasilva,189,Brentford,24, M(C)  ,8(10),778,3,1,0.6,0.3,0.7,0.6,0,0.8,0.7,6.51
0,Joel Ward,162,Crystal Palace,33," D(CLR),DMC,M(R)  ",13(2),1224,0,0,0.1,0.1,0.3,0.5,0,0.3,0.7,6.51
1,Julián Álvarez,167,Man City,22," AM(R),FW  ",3(10),361,3,0,0.8,0.4,0.3,0.2,0.1,0.5,0.4,6.50
2,Moussa Djenepo,18,Southampton,24, M(LR)  ,6(5),570,0,1,0.2,0.5,1.2,1.4,0,0.4,1,6.50
3,Yoane Wissa,189,Brentford,26," AM(L),FW  ",7(11),751,4,1,1.1,0.3,0.4,0.6,0.4,1,1.3,6.50
4,Joe Worrall,174,Nottingham Forest,25, D(C)  ,10(4),983,0,0,0.2,0.1,0.1,0.1,0,0.3,0.2,6.50
5,Ryan Yates,174,Nottingham Forest,25, DMC  ,14(2),1304,0,1,1.4,0.4,0.1,2.5,0.1,0.8,0.9,6.50
6,Séamus Coleman,31,Everton,34," D(CR),M(R)  ",7(3),655,0,0,0.3,0.1,0.4,0.6,0,0.5,1.4,6.49
7,Neeskens Kebano,170,Fulham,30, AM(CLR)  ,9(3),719,0,3,0.8,0.9,0.8,1.3,0.2,0.8,1.3,6.49
8,Adam Webster,211,Brighton,28, D(C)  ,13,1170,0,0,0.9,0.2,0.1,0.3,0,0.2,0.5,6.49
