,player_name,team_number,team_name,age,position,Apps,Mins,Goals,Assists,SpG,KeyP,Dribble,Fouled,Off,Disp,UnsTch,Rating
3,Thilo Kehrer,29,West Ham,26," D(CLR),M(R)  ",15,1350,0,0,0.5,0.1,0.3,0.5,0,0.2,0.7,6.33
4,Lewis O'Brien,174,Nottingham Forest,24," D(L),M(CL)  ",6(6),561,1,0,0.6,0.3,0.6,1.1,0,0.6,0.9,6.33
5,Jaidon Anthony,183,Bournemouth,23, AM(LR)  ,3(10),480,2,0,0.8,0.4,0.2,0.3,0.2,0.4,0.7,6.32
6,Philippe Coutinho,24,Aston Villa,30, M(CLR)  ,6(9),632,0,0,1.1,0.4,0.7,0.6,0.1,0.9,1.1,6.32
7,Jamie Vardy,14,Leicester,35," AM(L),FW  ",9(9),961,1,4,0.8,0.4,0.2,0.1,0.7,0.5,0.8,6.32
8,Frank Onyeka,189,Brentford,25, DMC  ,4(8),439,0,1,0.3,0.4,0.1,0.9,0.1,0.5,0.4,6.32
9,Taiwo Awoniyi,174,Nottingham Forest,25, FW  ,9(7),733,4,0,1.2,0.5,0.2,0.6,0.4,0.9,2.4,6.31
0,Samuel Edozie,18,Southampton,19, Forward  ,2(9),337,0,0,0.5,0.4,0.9,1,0.1,0.6,1.3,6.31
1,Scott McKenna,174,Nottingham Forest,26, D(C)  ,14,1260,0,0,0.1,0.5,0.4,0.3,0,0.1,0.1,6.31
2,Chris Wood,23,Newcastle,31, FW  ,4(13),439,2,0,0.5,0.2,0.1,0.2,0.2,0.3,0.6,6.31
3,Shandon Baptiste,189,Brentford,24, AM(C)  ,4(8),428,0,0,0.2,0.5,0.3,0.9,0.1,0.4,0.8,6.31
4,Leander Dendoncker,24,Aston Villa,27," D(C),M(C)  ",3(7),325,0,0,0.1,0.5,0.1,0,0,0.1,0.4,6.30
5,Brennan Johnson,174,Nottingham Forest,21," AM(CLR),FW  ",16(2),1445,2,1,1.4,0.7,0.7,0.3,0.5,0.6,2.2,6.30
6,Luka Milivojevic,162,Crystal Palace,31, DMC  ,2(8),280,0,0,0.5,0.2,0,0.2,0,0.5,0.2,6.30
7,Adam Armstrong,18,Southampton,25," AM(CLR),FW  ",11(6),912,1,1,0.9,0.6,0.4,0.4,0.1,0.8,0.9,6.30
8,Christian Pulisic,15,Chelsea,24," M(CLR),FW  ",6(10),606,1,1,0.9,0.7,0.5,0.9,0,0.3,1.4,6.29
9,Yves Bissouma,30,Tottenham,26, M(C)  ,8(8),772,0,0,0.3,0.4,0.3,0.4,0.1,0.3,0.8,6.29
0,Anthony Elanga,32,Man Utd,20, AM(LR)  ,5(8),397,0,1,0.6,0.4,0.2,0.5,0.2,0.5,0.8,6.29
1,Jacob Murphy,23,Newcastle,27," D(R),M(LR)  ",5(13),521,1,1,0.7,0.3,0,0.1,0.1,0.6,0.3,6.29
2,Sékou Mara,18,Southampton,20, FW  ,3(9),286,0,1,1.1,0.3,0.6,0.3,0.2,0.8,1,6.28
3,Orel Mangala,174,Nottingham Forest,24, M(C)  ,6(4),467,0,0,0.6,0.1,0.2,1,0,0.5,0.1,6.27
4,Kieran Tierney,13,Arsenal,25," D(CL),M(L)  ",4(10),450,0,0,0.4,0.2,0,0.3,0,0,0.4,6.27
5,Neal Maupay,31,Everton,26," AM(C),FW  ",7(6),683,1,0,1.2,0.4,0.2,1.2,0.1,0.8,1.8,6.27
6,Nathaniel Clyne,162,Crystal Palace,31," D(LR),M(R)  ",10(1),829,0,0,0,0.4,0.2,0.3,0,0.1,0.5,6.27
7,Armando Broja,15,Chelsea,21, FW  ,2(10),290,1,0,0.5,0.1,0.5,0.5,0.3,0.8,1.3,6.26
8,Tom Cairney,170,Fulham,31, M(CR)  ,1(17),405,0,0,0.6,0.4,0.3,0.3,0,0.4,0.6,6.25
9,Stuart Armstrong,18,Southampton,30, AM(CLR)  ,7(10),763,1,0,0.8,0.7,0.5,0.6,0.1,0.8,0.9,6.25
0,Mark Travers,183,Bournemouth,23, GK  ,10(1),945,0,0,0,0,0,0,0,0,0,6.24
1,Dan James,170,Fulham,25," AM(CLR),FW  ",3(7),344,1,0,1,0.4,0.1,1,0.1,0.6,0.6,6.23
2,Jesse Lingard,174,Nottingham Forest,30," AM(CLR),FW  ",11(3),867,0,0,0.7,0.7,0.4,0.6,0.1,0.6,1,6.20
3,Emmanuel Dennis,174,Nottingham Forest,25," M(LR),FW  ",3(7),370,1,1,0.9,0.4,0.5,1.6,0.4,1.5,1.9,6.20
