,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,sub,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Harry Kane,30,Tottenham,28,"AM(C),FW",35,3087,14,1.4,25.9,69.9,0.2,1.9,0.1,7.79,0,23,1,0,3.9,2.2,13,1.5,1.7,0.4,1.5,1.8,0.6,0.3,0.7,0,1.1,0.5,0.3,0
1,Kevin De Bruyne,167,Man City,30,"M(CLR),FW",23,2001,12,3.2,50.6,81.7,1.6,2.6,0.2,7.65,2,6,1,0,3.2,0.2,8,1.9,1.2,0,1.3,1.8,1.4,0.4,1.1,0,0.3,1.4,0,0
2,Jack Grealish,24,Aston Villa,26,AM(CL),24,2184,10,3.1,38.3,83.3,0.7,1.2,0.1,7.56,2,6,6,0,1.9,1,4,2.5,4.2,0.3,1.5,2.1,1.2,0.5,1.5,0,0.2,0.3,0.1,0
3,Bruno Fernandes,32,Man Utd,27,M(CLR),35,3110,12,2.6,57.1,78.3,1.1,3.8,0.2,7.43,2,18,6,0,3.3,0.4,6,0.6,1.4,0.1,1,1.5,1.5,0.7,1.2,0,0.7,2,0,0
4,Tomas Soucek,29,West Ham,26,DMC,38,3420,1,0.5,42.3,75.5,0,2.2,0,7.36,0,10,7,1,1.7,6.2,6,0.4,1.1,0.1,0.6,1.1,2.1,1.6,1.8,0.1,2.7,1.3,0.5,1
5,Mason Mount,15,Chelsea,22,M(CLR),32,2892,5,2.4,47.3,86.5,1.7,1.6,0,7.33,4,6,2,0,2.3,0.6,4,1.2,1.2,0.1,1.1,1.6,2.1,0.9,1.4,0,0.3,1.2,0.1,0
6,Sadio Mané,26,Liverpool,29,"AM(CLR),FW",31,2813,7,1.7,28.8,78.7,0.3,0.8,0,7.33,4,11,3,0,2.7,1,7,2.3,2.2,0.9,1.7,2.9,1.4,0.4,1.5,0,0.3,0.6,0,0
7,Riyad Mahrez,167,Man City,30,AM(CLR),23,1955,6,1.6,37.2,88.4,0.7,0.9,0,7.31,4,9,0,0,2.1,0.6,4,1.7,1.1,0.3,1.1,1.7,0.7,0.3,0.5,0,0.1,0.9,0,0
8,João Cancelo,167,Man City,27,"D(LR),M(R)",27,2302,3,1.6,66.2,87.1,0.4,2.4,0.1,7.31,1,2,5,1,1.3,1.1,2,1.7,0.6,0.1,0.8,1.3,2.4,1.5,1.3,0.3,1,1.4,0.1,0
9,Gareth Bale,30,Tottenham,32,"M(CLR),FW",10,923,2,1.1,18.3,73.2,0.6,1.5,0.1,7.30,10,11,1,0,1.9,1.2,4,1.4,0.5,0.3,0.4,0.9,0.9,0.4,0.5,0.1,0.7,0.4,0.1,0
10,Ilkay Gündogan,167,Man City,30,M(C),23,2031,2,1.5,61.2,91.7,0.3,1.6,0,7.29,5,13,1,0,1.9,0.4,2,1,0.9,0,0.5,1.1,0.9,0.7,0.3,0,0.3,1,0.1,0
11,Son Heung-Min,30,Tottenham,29,"M(CLR),FW",36,3127,10,2,28.6,83.4,1,0.8,0,7.27,1,17,0,0,1.8,0.5,0,1.1,1.5,0.4,1.4,1.6,0.9,0.4,0.4,0,0.1,1.5,0.1,0
12,Wilfred Ndidi,14,Leicester,24,DMC,25,2179,4,0.6,55.1,86.9,0,2,0,7.25,1,1,6,0,0.6,2.2,1,0.6,0.6,0,0.5,1,3.7,2.3,2.1,0.1,2,1.5,0.4,0
13,Raphinha,19,Leeds,24,AM(LR),26,2364,9,2.1,29.2,72.3,1.3,1.5,0,7.22,4,6,3,0,2.2,0.3,4,1.9,1,0.5,1.1,2.8,1.1,1,0.4,0,0.9,1.5,0,0
14,Raheem Sterling,167,Man City,26,"M(CLR),FW",28,2537,7,1.3,35.9,86.2,0,0.3,0,7.22,3,10,4,0,2.3,0.3,4,2.1,1.3,0.3,2.7,2,0.7,0.5,1.2,0,0.1,0.2,0,0
15,James Rodríguez,31,Everton,30,"AM(CLR),FW",21,1776,4,1.7,44.8,83.3,0.7,4.3,0.2,7.21,2,6,4,0,1.6,0.3,3,1.5,1.7,0.3,1.7,1.4,1.2,0.7,0.7,0,0,1.5,0,0
16,Ollie Watkins,24,Aston Villa,25,"AM(LR),FW",37,3329,5,1.2,21.7,71.5,0.1,0.2,0,7.18,0,14,2,1,2.6,3.7,4,1.1,1.3,0.8,2.3,3.1,0.8,0.2,1.3,0,0.6,0.6,0.1,0
17,Rodri,167,Man City,25,DMC,31,2749,2,1,81.9,91.3,0.1,4.6,0,7.17,3,2,6,0,0.9,2.4,1,0.8,0.9,0.1,0.6,0.7,2.1,1.1,1.3,0,1.6,1,0.3,0
