,player_name,team_number,team_name,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating
4,Tyrell Malacia,32,Man Utd,8(3),747,0,0,3,0,0.3,85.1,0.5,0,6.58
5,John McGinn,24,Aston Villa,14(3),1227,0,1,4,0,1.2,78.9,0.8,0,6.58
6,Rico Henry,189,Brentford,18,1617,0,1,0,0,0.4,75.1,1,0,6.58
7,Clément Lenglet,30,Tottenham,10(1),839,0,2,1,0,0.6,88.3,1.9,0,6.58
8,Odsonne Édouard,162,Crystal Palace,9(6),804,3,2,3,0,1.3,78.1,0.9,0,6.58
9,Dwight McNeil,31,Everton,10(7),849,2,1,2,0,0.7,81.9,0.2,2,6.58
0,Crysencio Summerville,19,Leeds,5(7),551,4,1,2,0,0.9,77.7,0.3,0,6.57
1,Harrison Reed,170,Fulham,17,1422,2,1,5,0,0.7,78,0.9,0,6.57
2,Danny Ings,24,Aston Villa,8(9),761,6,0,3,0,1.5,73.8,0.8,2,6.57
3,Emerson Royal,30,Tottenham,11(3),926,0,1,1,1,0.6,81.9,0.9,0,6.57
4,Jacob Ramsey,24,Aston Villa,12(3),1026,2,2,4,0,0.7,84.6,0.3,1,6.57
5,Daniel Podence,161,Wolves,15(3),1222,4,0,4,0,1.6,70.5,0.3,1,6.56
6,Patson Daka,14,Leicester,9(7),702,3,3,2,0,1.2,67.8,0.7,0,6.56
7,Rayan Aït-Nouri,161,Wolves,7(6),746,1,0,2,0,0.7,82.4,0.6,1,6.56
8,Boubakary Soumaré,14,Leicester,12(2),845,0,0,4,0,0.1,89.2,0.6,0,6.56
9,Harvey Elliott,26,Liverpool,12(5),1017,1,1,1,0,1.1,83.6,0.1,0,6.56
0,Brenden Aaronson,19,Leeds,17,1432,1,2,2,0,1.3,79.9,0.4,0,6.56
1,Maximilian Kilman,161,Wolves,18,1620,0,0,2,0,0.3,82.8,2.1,0,6.55
2,Pervis Estupiñán,211,Brighton,11(3),905,0,0,3,0,0.4,81.3,1.3,0,6.55
3,Nathan Collins,161,Wolves,15,1293,0,0,2,1,0.1,89.3,1.4,0,6.55
4,Jorginho,15,Chelsea,13(2),1068,2,0,3,0,0.3,85.3,0.4,0,6.55
5,Lewis Cook,183,Bournemouth,16(2),1453,0,2,2,0,0.3,81.3,0.4,0,6.55
6,Jonny,161,Wolves,11(2),1007,0,0,3,0,0.6,85,0.9,0,6.54
7,Nathan Patterson,31,Everton,11(2),988,0,0,3,0,0.6,81.3,0.5,0,6.54
8,Dean Henderson,174,Nottingham Forest,17,1530,0,0,2,0,0,55.9,0.1,2,6.54
9,Scott McTominay,32,Man Utd,6(6),637,0,0,5,0,0.5,82.3,1.5,0,6.54
0,Davinson Sánchez,30,Tottenham,6(5),553,0,0,1,0,0.4,87.9,1.4,0,6.53
1,Ruben Loftus-Cheek,15,Chelsea,12(2),958,0,0,1,0,0.6,86.4,1.4,0,6.53
2,Jordan Henderson,26,Liverpool,9(5),816,0,0,0,0,0.9,82.8,0.4,0,6.53
3,Richarlison,30,Tottenham,5(5),438,0,2,2,0,1.3,75.4,0.4,1,6.52
4,Jeffrey Schlupp,162,Crystal Palace,15(2),1330,0,0,4,0,0.8,78.3,0.6,0,6.52
5,Marc Guéhi,162,Crystal Palace,16,1440,0,0,5,0,0.3,88.3,1.2,0,6.52
6,Mohamed Elyounoussi,18,Southampton,15(2),1246,0,1,3,0,1.5,68.6,1.2,0,6.52
7,Gianluca Scamacca,29,West Ham,11(4),915,3,0,3,0,1.9,67.3,1,0,6.52
8,Robert Sánchez,211,Brighton,17,1530,0,0,1,0,0,70.3,0.4,0,6.52
9,Josh Dasilva,189,Brentford,8(10),778,3,1,1,0,0.6,82.6,0.3,0,6.51
0,Joel Ward,162,Crystal Palace,13(2),1224,0,0,4,0,0.1,75.4,1.7,0,6.51
1,Julián Álvarez,167,Man City,3(10),361,3,0,0,0,0.8,87.3,0.2,1,6.50
2,Moussa Djenepo,18,Southampton,6(5),570,0,1,0,0,0.2,78.1,0.3,0,6.50
3,Yoane Wissa,189,Brentford,7(11),751,4,1,1,0,1.1,75,0.5,0,6.50
4,Joe Worrall,174,Nottingham Forest,10(4),983,0,0,4,0,0.2,81,1.5,0,6.50
5,Ryan Yates,174,Nottingham Forest,14(2),1304,0,1,4,0,1.4,78.9,1.6,0,6.50
