,player_name,team_number,team_name,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating
9,Ethan Pinnock,189,Brentford,10,900,0,0,0,0,0.6,74.6,3.6,0,6.86
0,Lucas Paquetá,29,West Ham,10(1),844,1,2,2,0,2.4,80.3,1.7,1,6.84
1,Joe Willock,23,Newcastle,16(2),1356,2,2,0,0,1.6,84.3,0.5,1,6.83
2,Sven Botman,23,Newcastle,15(1),1329,0,0,0,0,0.5,86.5,1.8,0,6.82
3,Kaoru Mitoma,211,Brighton,5(7),569,3,1,0,0,0.8,82,0.5,1,6.82
4,Timothy Castagne,14,Leicester,16(1),1462,1,2,1,0,0.6,81.3,1.4,0,6.82
5,Cheick Oumar Doucouré,162,Crystal Palace,15,1234,0,1,5,0,1.1,85.8,0.7,0,6.82
6,Tomás Soucek,29,West Ham,17(1),1485,1,1,1,0,0.9,74.8,2.6,1,6.82
7,Oleksandr Zinchenko,13,Arsenal,9(1),732,0,1,1,0,0.7,89.8,1.2,1,6.81
8,Allan Saint-Maximin,23,Newcastle,4(6),414,1,3,1,0,1.2,73,0.1,1,6.81
9,Andrew Robertson,26,Liverpool,12(3),1061,0,5,0,0,0.3,83.9,0.6,0,6.80
0,Philip Billing,183,Bournemouth,16(2),1323,4,1,2,0,0.9,76.2,1.6,2,6.80
1,Rúben Dias,167,Man City,9(3),872,0,0,0,0,0.4,92.2,2.2,0,6.80
2,Riyad Mahrez,167,Man City,6(6),580,2,1,1,0,1.4,90.5,0.2,1,6.80
3,Andreas Pereira,170,Fulham,18,1485,2,4,3,0,1.4,70,0.3,1,6.80
4,Eric Dier,30,Tottenham,16(1),1465,2,0,1,0,0.6,87.7,2.2,0,6.79
5,Virgil van Dijk,26,Liverpool,17,1486,2,0,1,0,1.1,89.1,2.6,0,6.79
6,Rasmus Kristensen,19,Leeds,13(1),1136,0,1,4,0,0.5,67.5,1.4,0,6.78
7,William Saliba,13,Arsenal,17,1516,2,1,4,0,0.3,92,1.6,1,6.78
8,Dan Burn,23,Newcastle,17(1),1497,0,0,3,0,0.6,78.9,2.2,0,6.78
9,Kalidou Koulibaly,15,Chelsea,11(1),1014,1,0,3,1,0.7,86.3,1.8,0,6.77
0,Bryan Mbeumo,189,Brentford,18,1362,4,1,4,0,1.8,72.5,0.7,1,6.77
1,Michael Olise,162,Crystal Palace,11(5),999,1,4,1,0,1.3,79.4,0.3,2,6.76
2,Kai Havertz,15,Chelsea,14(2),1159,4,1,3,0,1.7,81.3,2.2,0,6.75
3,Ivan Perisic,30,Tottenham,12(6),1097,0,5,2,0,0.6,74.4,0.6,1,6.74
4,James Justin,14,Leicester,14,1254,0,0,0,0,0.4,81.5,1.6,0,6.74
5,Lisandro Martínez,32,Man Utd,14(1),1208,0,0,3,0,0.2,86.3,1.3,0,6.74
6,Tim Ream,170,Fulham,18,1618,1,0,1,0,0.2,86.8,1.3,0,6.74
7,Raheem Sterling,15,Chelsea,14(1),1122,4,2,3,0,1.3,78.1,0,1,6.74
8,Jack Harrison,19,Leeds,13(2),1036,1,4,2,0,0.9,73.1,0.2,2,6.73
9,Vitaly Janelt,189,Brentford,13(5),1201,2,1,1,0,0.4,81.9,1.1,1,6.73
0,Lukasz Fabianski,29,West Ham,18,1515,0,0,0,0,0,62.3,0.6,0,6.73
