,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,sub,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
28,Sergio Agüero,167,Man City,33,"AM(CL),FW",18,1460,3,0.8,14.8,80.5,0.0,0.0,0.0,7.16,6,16,1,0,3.2,0.1,2,1.0,0.4,0.3,1.3,1.4,0.3,0.1,0.4,0.0,0.1,0.3,0.0,0
29,Lucas Digne,31,Everton,28,"D(CL),M(L)",35,3035,7,2.1,39.3,74.2,2.1,1.8,0.1,7.16,0,0,6,0,0.8,3.3,2,0.7,0.8,0.1,0.7,0.8,2.1,1.2,1.2,0.2,2.7,1.0,0.3,1
30,James Ward-Prowse,18,Southampton,26,M(CR),38,3420,3,1.6,43.8,80.9,1.5,2.1,0.0,7.15,0,5,9,0,1.5,1.9,1,0.4,1.1,0.0,0.6,0.7,2.4,1.6,1.5,0.1,1.9,1.4,0.4,0
31,Jordan Henderson,26,Liverpool,31,"D(C),M(CLR)",26,2244,5,0.9,61.9,84.5,0.3,4.2,0.1,7.15,4,4,2,0,0.7,0.9,1,0.6,0.4,0.0,0.2,0.8,2.1,1.0,1.0,0.1,0.6,1.1,0.1,0
32,Roberto Firmino,26,Liverpool,30,"M(CLR),FW",34,3003,8,1.4,30.6,79.6,0.1,0.7,0.0,7.14,4,9,0,0,2.6,0.7,2,1.4,0.4,0.2,1.0,2.4,1.0,0.2,0.8,0.1,0.3,0.9,0.1,0
33,César Azpilicueta,15,Chelsea,32,"D(CLR),M(R)",36,3230,6,1.3,67.6,80.7,0.8,2.2,0.0,7.12,0,2,1,0,0.8,2.6,2,0.3,0.4,0.1,0.4,0.8,2.4,1.9,1.1,0.1,2.3,0.9,0.6,0
34,Harry Maguire,32,Man Utd,28,D(C),38,3450,1,0.4,66.3,86.7,0.0,4.4,0.0,7.12,0,1,6,0,0.8,4.6,1,0.2,0.6,0.2,0.2,0.3,1.0,1.9,0.9,0.4,4.1,0.4,0.6,0
35,Danny Ings,18,Southampton,29,"AM(C),FW",32,2815,2,0.9,16.9,62.7,0.2,0.5,0.0,7.12,6,22,3,0,2.4,1.2,4,1.3,0.7,0.3,1.3,1.8,1.1,0.2,0.9,0.0,0.6,1.4,0.1,0
36,Andrew Robertson,26,Liverpool,27,"D(L),M(L)",34,3114,12,1.7,69.2,83.7,1.1,2.3,0.0,7.11,2,2,2,0,0.6,0.9,2,0.6,0.4,0.1,0.3,1.4,1.5,1.1,0.5,0.5,1.6,0.9,0.2,0
37,Rodri,167,Man City,25,DMC,29,2488,2,1.0,73.7,92.9,0.1,4.9,0.1,7.09,6,3,8,0,0.7,1.6,1,0.9,0.9,0.0,0.8,0.6,1.4,0.7,1.2,0.1,0.9,1.1,0.1,0
