,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,sub,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Riyad Mahrez,14,Leicester,30,AM(CLR),36,3058,11,1.8,27.9,73.6,0.9,1.4,0.4,7.84,1,17,1,0,2.3,0.9,10,3.5,2.2,0.1,2.4,2.1,1.4,1,0.5,0,0.4,1.9,0.1,0
1,Dimitri Payet,29,West Ham,34,"M(CLR),FW",29,2573,12,4,42.3,80.2,3.1,2.6,0.3,7.74,1,9,3,0,2.3,0.1,5,2.2,1.3,0.1,1.7,1.8,0.8,0.8,0.4,0,0.1,0.8,0,0
2,Alexis Sánchez,13,Arsenal,32,"M(CLR),FW",28,2446,4,2.1,47.8,79.6,0.4,2.4,0.4,7.72,2,13,1,0,3.6,0.7,6,3.4,2.2,0.4,3.3,2.4,1.6,0.8,1.1,0,0.2,0.8,0.1,0
3,Mousa Dembélé,30,Tottenham,34,M(CR),27,2273,1,1,47.6,90,0,1.4,0,7.69,2,3,3,0,0.8,1.1,4,2.9,1.1,0.1,2.2,0.8,3.6,1.9,1.7,0,1.1,0.4,0.3,0
4,Mesut Özil,13,Arsenal,33,M(CLR),35,3049,19,4.2,65.1,86.3,2.6,1.5,0.5,7.66,0,6,4,0,1.4,0.1,6,1.3,1.2,0.4,1.7,2,1,0.6,0.6,0,0.3,1.2,0,0
5,N'Golo Kanté,14,Leicester,30,DMC,33,3020,4,0.8,39.2,81.6,0.1,1.7,0.1,7.61,4,1,3,0,0.6,1,3,1.3,0.5,0,0.7,1.2,4.7,4.2,1.2,0,1.5,1.6,0.3,0
6,Virgil van Dijk,18,Southampton,30,D(C),34,3060,0,0.3,40.8,83.1,0,3.5,0,7.56,0,3,2,0,0.9,4.8,7,0.5,0.5,0.1,0.2,0.3,1.7,2.8,0.8,0.3,7.6,0.3,0.6,0
7,Harry Kane,30,Tottenham,28,"AM(C),FW",38,3370,1,1.2,25.3,73.1,0.1,1.2,0,7.53,0,25,5,0,4.2,2,8,1.3,1.4,0.8,2.4,1.8,0.8,0.6,1.1,0,0.8,0.3,0.2,1
8,Jamie Vardy,14,Leicester,34,"AM(L),FW",36,3140,6,1.3,17.4,65.8,0.3,0.4,0,7.51,0,24,5,1,3.2,2.6,3,1.1,0.8,0.7,0.8,1.8,1,0.5,1.2,0,0.2,0.5,0.1,0
9,Christian Fuchs,14,Leicester,35,"D(CL),M(L)",30,2710,4,1.4,36.9,72.4,1.1,2.8,0,7.50,2,0,4,0,0.6,1.5,4,0.2,0.4,0,0.3,0.7,3.1,3.1,1,0.3,3.8,1.7,0.3,0
10,Laurent Koscielny,13,Arsenal,36,D(C),33,2847,0,0.2,51.3,87,0,2.5,0,7.48,0,4,3,0,0.6,3.2,3,0.3,0.8,0,0.4,0.5,1.4,3.8,0.9,0.9,5.6,0.4,0.8,0
11,Nicolás Otamendi,167,Man City,33,D(C),30,2672,0,0.2,52.3,84.1,0,3.2,0,7.47,0,1,9,0,0.9,3,4,0.4,1,0,0.2,0.4,3,3.5,1,0.8,7,1.4,0.4,0
12,Christian Eriksen,30,Tottenham,29,M(CLR),33,2942,13,3.3,52.6,81.2,1.2,2.2,0.1,7.45,2,6,2,0,2.9,0.5,2,1,0.5,0,1.8,1.8,1.3,1,0.4,0,0.7,0.7,0,0
13,Kevin De Bruyne,167,Man City,30,"M(CLR),FW",22,2004,9,3.2,45.1,78.3,1.9,1.9,0.2,7.45,3,7,2,0,2,0.5,4,1.4,0.7,0.3,1.4,1.7,1.1,0.7,0.6,0,0.5,1.9,0,0
14,Sergio Agüero,167,Man City,33,"AM(CL),FW",29,2375,2,0.9,24.2,84.7,0.1,0.5,0,7.39,1,24,1,0,4,0.3,5,2.2,1.2,0.9,3.4,2,0.5,0.2,0.7,0,0,0.6,0,0
15,Dele Alli,30,Tottenham,25,"M(CL),FW",28,2482,9,1.7,32.9,75.9,0.1,0.8,0.2,7.35,5,10,7,0,2.2,1.1,2,0.9,2,0.2,2.5,2.5,2.2,1.8,1.5,0,1,1.2,0.2,0
16,Michail Antonio,29,West Ham,31,"D(R),M(CLR),FW",23,2063,3,0.9,20.1,69.6,0.6,1.2,0,7.35,3,8,3,0,2.1,1.5,2,1.8,1.3,0.4,1.3,2.5,1.4,2.2,1,0,1.7,0.7,0.2,0
17,Ross Barkley,31,Everton,27,M(CLR),36,3087,8,1.5,47.4,86,0.6,2.7,0.2,7.31,2,8,4,0,2.5,0.8,3,3.1,1.9,0.1,2,1.6,0.9,0.4,0.8,0,0.5,0.7,0.1,0
18,Danny Drinkwater,14,Leicester,31,DMC,35,3039,7,1.3,56.7,77.6,0.3,3.9,0.3,7.30,0,2,3,1,1.2,0.8,1,0.9,0.7,0,1.1,0.7,3,1.6,1.5,0,1.9,1.5,0.5,0
19,Philippe Coutinho,26,Liverpool,29,M(CLR),24,2005,5,1.9,42,78.9,0.4,2.2,0.3,7.29,2,8,2,1,4.3,0.2,4,1.9,1.1,0.2,2.2,2,1.3,0.7,0.4,0,0.3,1.3,0,0
20,Troy Deeney,27,Watford,33,FW,36,3293,7,1.5,34,60.9,0,0.9,0.1,7.28,2,13,6,0,2.5,6.2,3,0.6,0.9,0.5,1.6,1.8,1.3,0.4,1.3,0.1,1.3,0.6,0.1,1
21,David Silva,167,Man City,35,M(CLR),22,1802,11,2.8,57.8,86.4,1.4,2.1,0.2,7.28,2,2,1,0,1.2,0.4,2,1.3,1.4,0,2.4,0.8,1.5,0.7,0.8,0,0.1,1.5,0,0
22,Cédric Soares,18,Southampton,30,"D(LR),M(R)",23,1971,2,1.1,32.6,68.8,1.3,2.8,0,7.27,1,0,3,0,0.4,0.8,1,0.8,0.6,0.1,0.7,1,3,2.3,0.8,0.1,2.8,0.6,0.5,0
23,Cheikhou Kouyaté,29,West Ham,31,"D(CR),DMC",34,3010,2,0.6,36.3,79.6,0.1,1.2,0,7.26,0,5,5,1,1.3,2.6,1,0.9,1.2,0.1,0.9,1.1,2.8,2.2,1.1,0.1,1.7,1.5,0.4,0
24,Nacho Monreal,13,Arsenal,35,"D(CL),M(L)",36,3248,3,0.8,49.9,85.5,0.5,1,0,7.26,1,0,1,0,0.3,1.9,1,0.4,1.1,0.1,0.3,0.6,2.1,2.9,0.8,0.2,3.1,0.8,0.3,0
25,Danny Rose,30,Tottenham,31,"D(L),M(L)",24,2132,3,1,44.2,79.4,0.5,2,0,7.25,0,1,7,0,1.1,1,0,1.2,1.8,0,1.2,0.8,2.8,1.6,1.7,0.1,3.3,0.8,0.5,0
26,Idrissa Gueye,24,Aston Villa,32,M(C),35,3076,1,0.8,53.4,85.6,0.1,2.7,0,7.25,0,0,10,0,0.9,0.9,3,2,1.5,0,1,1.9,4.1,4,1.9,0,0.9,0.9,0.2,0
27,Gabriel Paulista,13,Arsenal,30,D(CR),18,1762,0,0,52.9,90.2,0,1.6,0,7.23,3,1,4,1,0.5,2.4,0,0.1,0.5,0,0.3,0.4,2,2.9,0.4,1,5.4,0.5,0.6,0
28,Anthony Martial,32,Man Utd,25,"AM(LR),FW",29,2632,4,1.2,29.8,76.7,0.2,0.4,0.1,7.23,2,11,2,0,1.8,1.8,3,2.7,1.8,0.5,3.1,2.4,0.7,0.3,1.3,0,0.6,0.6,0.1,0
29,Yohan Cabaye,162,Crystal Palace,35,M(C),32,2704,1,1.5,38.5,82.6,1.3,2.9,0,7.23,1,5,7,0,2,0.2,3,0.3,1.2,0,1.1,0.8,3.2,3.6,1.2,0,0.5,1.9,0.2,0
30,Yaya Touré,167,Man City,38,M(C),28,2335,5,1.4,57.4,86.5,0.1,3.4,0.4,7.22,4,6,3,0,2.4,0.9,2,1.8,0.8,0.1,1.4,0.8,1.3,0.8,0.8,0,1.1,1.3,0.1,0
31,Aaron Ramsey,13,Arsenal,30,M(CLR),29,2624,4,1.2,69.5,86.1,0.4,1.9,0.2,7.21,2,5,4,0,2.2,0.9,2,1.3,1.5,0.2,2.2,2,2.5,1.8,1.5,0,0.6,2.1,0.4,0
32,Manuel Lanzini,29,West Ham,28,M(CLR),23,1921,2,1.3,42,88.9,0.5,1,0.1,7.21,3,6,3,0,1.8,0.2,3,2.2,1.2,0.2,1,1.3,1.3,0.9,0.3,0,0.2,0.8,0.1,0
33,James Milner,26,Liverpool,35,"D(LR),M(CLR)",28,2416,11,2.2,49.1,77.4,2.1,2.5,0.1,7.21,0,5,9,1,1.4,1.1,4,0.7,1.2,0.1,2.2,1.6,2.5,1.3,1.7,0,0.8,1.9,0.1,0
34,Phil Jagielka,31,Everton,39,D(CR),21,1852,0,0.1,49.3,84.3,0,7,0,7.20,0,0,0,0,0.4,2.8,0,0.1,0.7,0,0.3,0.1,1.9,2.4,0.4,0.5,8.1,0.6,1,0
35,Jonny Evans,175,West Brom,33,D(CL),30,2593,1,0.3,32.8,75.1,0.4,3.7,0,7.20,0,1,4,0,0.2,1.8,1,0.7,0.7,0,0.5,0.2,2.4,3,0.8,0.3,3.4,0.8,0.9,0
36,Willian,15,Chelsea,33,AM(CLR),32,2751,6,2.3,42.9,82.4,1.5,2.9,0.1,7.20,3,5,5,0,1.7,0.1,3,2.4,1.9,0.1,1.4,1.4,1.2,0.6,0.8,0,0.1,0.8,0,0
37,Roberto Firmino,26,Liverpool,30,"M(CLR),FW",24,1982,7,1.6,32.2,76.6,0.1,0.7,0.2,7.19,7,10,1,0,2,0.3,5,1.4,0.6,0.5,2.1,1.8,2.2,0.5,0.9,0,0.4,0.9,0.1,0
38,Kyle Walker,30,Tottenham,31,"D(CR),M(R)",33,2943,3,1,37.9,78.4,0.5,2.3,0,7.19,0,1,7,0,0.6,1.6,1,0.5,0.9,0.1,0.7,1,2.6,2.8,0.9,0.3,3.2,0.8,0.2,1
39,Ashley Williams,259,Swansea,37,D(C),36,3240,1,0.3,52.3,85,0,4.9,0,7.19,0,2,8,0,0.4,2,5,0.2,0.4,0.1,0.2,0.3,1.9,2.8,0.8,0.6,8.7,0.4,1.2,0
40,Héctor Bellerín,13,Arsenal,26,"D(R),M(R)",36,3240,5,0.7,46.9,85.7,0.5,0.9,0.1,7.19,0,1,3,0,0.4,1.1,1,1.8,0.2,0,1,0.9,1.6,1.8,0.5,0,2.4,0.6,0.2,0
41,Younes Kaboul,16,Sunderland,35,D(C),22,2009,1,0.3,28.3,68.4,0.1,2.2,0,7.18,1,0,3,1,0.5,3.4,0,0.7,0.4,0,0.3,0.3,1.9,2.3,0.7,0.3,8.6,0.5,0.9,0
42,Winston Reid,29,West Ham,33,D(C),24,2136,1,0.3,34.7,83.1,0,3.8,0,7.18,0,1,5,0,0.7,2.1,2,0.1,1.1,0,0.1,0.3,1.9,3.2,1,0.7,6.5,0.5,1,1
43,Ramiro Funes Mori,31,Everton,30,"D(C),DMC",24,2191,1,0.2,44.2,83.8,0.1,3.8,0,7.18,4,4,4,1,0.9,2.7,4,0.4,0.3,0.1,0.1,0.3,1.5,2.4,0.3,0.7,7.8,0.6,0.4,0
44,Chris Smalling,32,Man Utd,31,D(CR),35,3150,1,0.2,43.8,82.4,0,3,0,7.17,0,0,8,0,0.5,3.5,1,0.3,0.4,0,0.3,0.3,1.6,2.8,1.3,0.5,5.1,0.4,0.5,1
45,Fernandinho,167,Man City,36,"D(CR),DMC",31,2732,2,0.9,56.7,87.4,0.1,2.5,0,7.17,2,2,8,0,0.9,1.3,2,0.9,1,0,1,0.8,3.2,1.7,1.7,0.2,1.3,1.8,0.2,0
