,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,sub
0,Vicente Guaita,162,Crystal Palace,34,", GK",35,3150,0,0,25.3,49.5,0,6.3,0,6.69,0
1,Leander Dendoncker,161,Wolves,26,", D(C),DMC",32,2795,0,0.2,34.8,83.3,0.1,1.7,0,6.68,6
2,Luka Milivojevic,162,Crystal Palace,30,", DMC",28,2514,1,0.9,46.2,82,1,3.4,0,6.67,3
3,Joelinton,23,Newcastle,25,", AM(LR),FW",32,2699,2,0.8,21.6,76.7,0.1,0.3,0.1,6.67,6
4,Mark Noble,29,West Ham,34,", M(C)",32,2686,3,1.3,45.6,82.8,0.4,3.4,0.1,6.67,1
5,Abdoulaye Doucouré,27,Watford,28,", M(C)",36,3167,2,1,45.4,78.4,0.1,1.1,0,6.67,1
6,Cheikhou Kouyaté,162,Crystal Palace,31,", D(CR),DMC",29,2538,1,0.3,24.3,73.9,0.1,0.7,0,6.67,6
7,Shane Long,18,Southampton,34,", AM(R),FW",15,1399,2,0.8,14.7,54.1,0.1,0.1,0,6.67,11
8,Aaron Mooy,211,Brighton,31,", M(CLR)",25,2090,2,1.3,31.3,81.4,0.7,1.4,0.1,6.67,6
9,Mat Ryan,211,Brighton,29,", GK",38,3420,0,0,32.1,79.2,0,6.8,0,6.67,0
0,Davinson Sánchez,30,Tottenham,25,", D(C)",27,2432,0,0,53.2,85.9,0,2.2,0,6.66,2
1,Joel Ward,162,Crystal Palace,31,", D(LR),DMC,M(R)",27,2383,0,0.2,33.1,71.2,0.2,1.5,0,6.66,2
2,Stuart Armstrong,18,Southampton,29,", AM(CLR)",19,1716,3,0.6,19.3,77,0.2,0.4,0.1,6.66,11
3,Neal Maupay,211,Brighton,25,", AM(C),FW",30,2770,3,0.7,18.1,79.6,0.1,0.4,0,6.66,7
4,Adam Masina,27,Watford,27,", D(L),M(L)",20,1819,0,0.4,26.8,63.3,0.5,1.8,0,6.66,6
5,Gylfi Sigurdsson,31,Everton,32,", M(CLR),FW",28,2595,3,1.5,29.1,83.4,1.1,1.3,0,6.65,7
6,Pascal Groß,211,Brighton,30,", M(CR),FW",22,1804,4,2,31,79.5,1.6,1.4,0.1,6.65,7
7,Bukayo Saka,13,Arsenal,20,", D(L),M(CLR)",19,1755,5,0.8,26,81.5,0.3,0.7,0.1,6.65,7
8,Davy Pröpper,211,Brighton,30,", M(C)",32,2830,2,0.8,51,84.2,0.1,2,0,6.65,3
9,Dale Stephens,211,Brighton,32,", M(C)",28,2529,1,0.6,50.8,85.7,0,3.3,0.1,6.65,5
0,Erik Pieters,184,Burnley,33,", D(L),M(L)",21,1880,4,0.8,31,72.1,0.5,1.2,0.1,6.65,3
1,Kenny McLean,168,Norwich,29,", M(C)",32,2966,1,0.6,45.4,79.4,0.3,2.2,0.1,6.64,5
2,Erik Lamela,30,Tottenham,29,", AM(CLR)",12,1212,1,0.7,21.6,83.7,0.3,0.7,0.1,6.64,13
3,Craig Cathcart,27,Watford,32,", D(CR)",28,2490,0,0.1,31.5,80.6,0,2.3,0,6.63,1
4,Ainsley Maitland-Niles,13,Arsenal,24,", D(LR),M(CLR)",15,1383,2,0.6,42,81.9,0.3,1.8,0,6.63,5
5,Kelechi Iheanacho,14,Leicester,25,", AM(C),FW",12,963,3,0.8,13.4,80.9,0,0.3,0.1,6.63,8
6,Alex Oxlade Chamberlain,26,Liverpool,28,", M(CLR)",17,1493,1,0.6,23.4,83.2,0.2,1.4,0,6.63,13
7,Tyrone Mings,24,Aston Villa,28,", D(CL)",33,2903,2,0.2,41.9,78,0,3.5,0,6.63,0
8,Douglas Luiz,24,Aston Villa,23,", M(C)",28,2608,2,0.5,33.6,82.6,0.2,2.6,0,6.63,8
9,Rui Patrício,161,Wolves,33,", GK",38,3420,0,0,19.4,59.9,0,7.3,0,6.63,0
0,Will Hughes,27,Watford,26,", M(CLR)",27,2263,1,0.8,28,78.3,0.7,0.4,0,6.63,3
1,Issa Diop,29,West Ham,24,", D(C)",31,2766,1,0.2,30.4,78,0,1.5,0,6.62,1
2,Giovani Lo Celso,30,Tottenham,25,", M(CR),FW",15,1489,2,1,34.5,85,0.4,1.5,0.1,6.62,13
3,Alisson,26,Liverpool,29,", GK",29,2545,1,0,27.8,84.6,0,4,0,6.62,0
4,Lukasz Fabianski,29,West Ham,36,", GK",25,2119,0,0,22.9,50.9,0,8,0,6.62,0
5,Ederson,167,Man City,28,", GK",35,3072,0,0,25.7,86,0,3.5,0,6.62,0
6,Aaron Cresswell,29,West Ham,31,", D(CL),M(L)",31,2730,0,0.8,40.4,74.6,0.8,2.2,0,6.62,0
7,Tim Krul,168,Norwich,33,", GK",36,3240,0,0,38.4,64.2,0,6.9,0,6.61,0
8,Daniel James,32,Man Utd,23,", AM(LR),FW",26,2292,6,0.8,21.2,78.7,0.5,0.4,0.1,6.61,7
9,Jack Cork,184,Burnley,32,", DMC",30,2618,0,0.4,30.8,77.9,0,1.6,0,6.61,0
0,Jack Stephens,18,Southampton,27,", D(CR)",27,2453,3,0.3,45.6,72.4,0,3.6,0.1,6.60,1
1,Ryan Bertrand,18,Southampton,32,", D(CL),M(L)",31,2744,1,0.9,38.4,76,1.1,1.3,0.1,6.60,1
2,Trézéguet,24,Aston Villa,27,", AM(LR)",20,1951,1,0.6,10.7,75.2,0.3,0.3,0,6.59,14
3,Séamus Coleman,31,Everton,33,", D(CR),M(R)",21,1839,1,0.3,30.5,78,0.1,1.2,0,6.59,6
4,Javier Manquillo,23,Newcastle,27,", D(LR),M(R)",18,1602,1,0.2,22.6,75.4,0.2,0.8,0,6.59,3
5,Todd Cantwell,168,Norwich,23,", AM(LR)",30,2504,2,0.9,28.8,81.9,0,0.8,0,6.59,7
6,Jay Rodriguez,184,Burnley,32,", AM(CLR),FW",20,2011,1,0.2,12.9,69.8,0,0.2,0,6.59,16
7,David Luiz,13,Arsenal,34,", D(C),DMC",32,2811,1,0.1,54.5,85.1,0.1,4.9,0.1,6.58,1
8,Tom Heaton,24,Aston Villa,35,", GK",20,1795,0,0,26.4,52.2,0,6,0,6.57,0
9,Ryan Fraser,183,Bournemouth,27,", M(CLR),FW",21,2063,4,1.6,27.5,79.9,1,1,0.1,6.57,7
0,David de Gea,32,Man Utd,30,", GK",38,3450,0,0,20.7,74.4,0,2.5,0,6.57,0
1,Harry Winks,30,Tottenham,25,", DMC",26,2230,0,0.6,54.6,90.3,0.2,2.5,0.1,6.57,5
2,James Milner,26,Liverpool,35,", D(LR),M(CLR)",9,927,2,0.5,34,87,0.1,2.2,0.1,6.56,13
3,Alex Iwobi,31,Everton,25,", M(CLR)",19,1604,0,1,22.3,79.7,0.5,1.1,0.2,6.56,6
4,Bernard,31,Everton,29,", AM(CL)",15,1311,2,0.9,20,77,0.2,0.6,0.1,6.56,12
5,Adam Smith,183,Bournemouth,30,", D(LR),M(LR)",24,2060,1,0.4,35,79.5,0.3,1.1,0,6.56,0
6,Callum Hudson-Odoi,15,Chelsea,20,", M(LR)",7,852,5,0.9,18.7,85.9,0.8,1.3,0,6.56,15
