,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
85,Bukayo Saka,13,Arsenal,22," D(L),M(CLR)  ",30(2),2562,3,1.2,30.6,81.8,1,0.4,0,6.88,5,1,0,1.9,0.4,2,1.4,2,0.5,1.3,2.3,0.8,0.8,0.9,0,0.6,0.9,0.1,1
86,Jorginho,15,Chelsea,31, DMC  ,23(5),2014,1,0.9,63.7,89.2,0.1,2.7,0.1,6.88,7,2,0,0.5,0.6,4,0.6,1,0,0.5,0.7,2,1.4,1.1,0,0.7,1.6,0.2,0
87,Jonny Evans,14,Leicester,35, D(CL)  ,28,2476,2,0.4,66.1,85.9,0,3.9,0,6.87,2,7,0,0.3,3.3,1,0.3,0.4,0,0.1,0.1,0.9,1.6,0.6,0.6,3.4,0.2,0.1,1
88,Romain Saïss,161,Wolves,33," D(C),DMC  ",27,2408,0,0.2,52.9,81.2,0.1,4,0,6.87,3,2,0,1,2.6,2,0.3,0.4,0,0.1,0.4,1.3,1.9,1.1,0.5,4.1,0.5,0.5,0
89,Stuart Dallas,19,Leeds,32," D(LR),M(CLR)  ",38,3411,2,0.7,51.6,83.7,0.3,2,0,6.87,8,7,0,1.3,0.9,3,0.6,1.3,0,0.9,1.4,1.9,1.2,1.1,0.1,1.2,1.5,0.1,0
90,Dwight McNeil,184,Burnley,24, M(CLR)  ,34(2),3071,5,1.3,30.7,78.9,1.4,1.8,0,6.87,2,1,0,0.7,0.5,1,1.8,1.1,0.1,1.7,1.6,1.3,0.9,0.3,0,0.5,1.1,0.2,0
91,Nick Pope,184,Burnley,31, GK  ,32,2880,0,0.1,26.2,44.6,0,8.7,0,6.86,0,1,0,0,0.3,6,0,0.2,0,0,0.1,0,0.1,0.1,0,1.3,0,0,0
92,Tanguy Ndombélé,30,Tottenham,26, M(C)  ,28(5),2108,2,0.4,35.5,85.6,0.1,0.6,0.1,6.86,3,3,0,0.5,0.3,2,2.2,1.8,0,1,1.7,1.2,0.6,0.8,0,0.3,0.8,0.1,0
93,Yerry Mina,31,Everton,29, D(C)  ,23(1),1939,0,0,52.4,90.1,0,2.2,0,6.86,2,2,0,0.7,2.8,1,0,0.5,0,0,0.1,0.9,1,0.9,0.3,4.5,0.2,1,0
94,N'Golo Kanté,15,Chelsea,32, M(C)  ,24(6),2146,2,0.7,51,86.5,0,2.3,0,6.86,0,7,0,0.3,0.6,1,0.9,0.2,0,0.5,1.6,2.6,2,1.2,0,0.9,1,0.1,0
