,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,sub,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
170,Bernd Leno,13,Arsenal,29,GK,31,2833,0,0,28.8,69.2,0,4.9,0,6.68,1,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0.1,0,0,1,0.1,0,0
171,Victor Lindelöf,32,Man Utd,27,D(CR),29,2602,1,0.2,49.7,89.2,0,2.1,0,6.68,1,1,1,0,0.3,2.3,0,0.3,0.5,0,0.1,0.4,1.3,0.8,0.6,0.7,3.9,0.3,0.4,1
172,Pascal Groß,211,Brighton,30,"M(CR),FW",24,1878,3,2.2,32.4,75.6,1.8,2.1,0,6.68,1,3,1,0,1,0.7,1,0.2,0.5,0.2,0.8,1.4,1.1,0.5,0.4,0,0.9,1,0.3,0
173,Aaron Cresswell,29,West Ham,31,"D(CL),M(L)",18,1591,1,0.9,40.6,81.4,0.8,1.5,0,6.68,2,0,1,0,0.6,1.3,0,0.3,0.6,0.1,0.3,0.7,1.5,1.2,0.1,0.4,2.1,0.6,0.4,0
174,Marc Albrighton,14,Leicester,31,M(LR),18,1627,2,1.1,23,65.9,0.8,1.7,0,6.68,9,2,3,0,0.7,0.6,0,0.7,0.7,0.1,0.9,1.3,1.3,0.9,0.4,0,0.9,0.7,0.1,0
175,Chris Wood,184,Burnley,29,FW,29,2596,2,0.6,15.8,64.8,0.1,0.1,0.1,6.67,9,10,2,0,1.6,3.5,2,0.2,0.6,1.4,1.2,2.4,0.3,0.1,0.7,0,0.7,0.3,0.1,0
176,Christian Kabasele,27,Watford,30,D(C),19,1587,0,0.1,26.2,73.9,0,2.1,0,6.67,2,0,2,1,0.4,2.9,1,0,0.7,0,0,0.3,1.2,1.8,1,1.1,5,0.6,0.8,0
177,Jordan Henderson,26,Liverpool,31,"D(C),M(CLR)",21,1983,3,0.5,54.4,87.2,0.2,3.3,0.1,6.67,11,1,1,1,0.5,0.8,0,0.2,0.4,0,0.3,0.7,1.4,0.9,0.8,0,0.4,0.7,0.1,0
178,Jeffrey Schlupp,162,Crystal Palace,28,"D(L),M(CLR)",18,1667,1,0.5,21,75.9,0.1,0.5,0,6.66,12,4,1,0,0.9,1.8,1,0.7,0.5,0,0.8,1,1.4,0.6,0.8,0,0.7,0.6,0.3,0
179,Ederson,167,Man City,28,GK,38,3420,1,0.1,24.2,82.6,0,3.3,0,6.66,0,0,2,0,0,0.3,0,0,0.1,0,0,0,0.1,0,0.1,0,0.5,0,0,0
