,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Kevin De Bruyne,167,Man City,32," M(CLR),FW  ",25(5),2205,8,2.9,45.3,82.5,1,2.4,0.3,7.63,15,2,0,2.6,0.4,4,1,0.9,0.1,0.7,1.3,1.1,0.2,0.7,0,0.5,0.8,0.1,0
1,Mohamed Salah,26,Liverpool,31," AM(CLR),FW  ",30(5),2763,13,1.8,30.8,79.9,0.2,0.5,0.3,7.54,23,1,0,4,0.2,7,1.5,0.7,0.3,2.3,2.8,0.5,0.2,0.3,0,0.1,0.4,0,0
2,Trent Alexander-Arnold,26,Liverpool,25," D(R),DMC,M(R)  ",32,2854,12,2.8,67.3,78.1,2.6,6.3,0.3,7.52,2,2,0,1.6,0.5,5,0.6,0.2,0.3,0.6,1.3,1.3,1.3,0.4,0.4,1,1,0.1,0
3,Son Heung-Min,30,Tottenham,31," M(CLR),FW  ",35,3021,7,2.1,29,86.6,1.2,0.5,0.1,7.51,23,2,0,2.5,0.5,6,1.5,1,0.5,1.3,2.1,0.4,0.4,0.4,0,0.2,0.5,0.2,0
4,Harry Kane,30,Tottenham,30," AM(C),FW  ",36(1),3232,9,1.4,23.6,70.3,0.2,1.8,0.3,7.45,17,5,0,3.6,2,7,1.5,1.5,0.4,1.6,2.6,0.4,0.1,1.1,0.1,1.1,0.3,0.2,0
5,Rodri,167,Man City,27," D(C),DMC  ",33,2887,2,0.9,86.8,91.8,0.1,5.5,0.1,7.43,7,5,0,1.4,2.6,4,0.4,0.6,0,0.7,0.5,2.2,0.8,1.3,0.1,1.3,0.8,0.2,0
6,João Cancelo,167,Man City,29," D(LR),M(R)  ",36,3228,7,1.1,82,85.3,0.6,3.9,0.1,7.42,1,7,0,2.3,1.6,5,1.6,0.7,0.1,0.7,1.3,2.3,1.6,0.9,0.3,0.9,1.3,0.1,0
7,Joël Matip,26,Liverpool,32, D(C)  ,31,2790,3,0.4,74.8,88.5,0,3.5,0.1,7.36,3,2,0,1.1,3.5,5,0.3,0.4,0,0.2,0.4,1.5,1.4,0.4,1.4,2.9,0.4,0.5,0
8,Sadio Mané,26,Liverpool,31," AM(CLR),FW  ",32(2),2825,2,1.2,30.5,77.3,0.3,0.7,0.1,7.30,16,5,0,2.9,0.9,3,1.4,1.5,0.6,1.7,3.1,1,0.2,1.5,0.1,0.3,0.5,0,0
9,Phil Foden,167,Man City,23," AM(CLR),FW  ",24(4),2133,5,1.4,34.3,87.4,1.3,0.7,0.1,7.29,9,1,0,2,0.2,1,1.3,0.8,0.5,1.2,1.7,0.6,0.4,0.5,0,0.1,0.4,0,0
10,Ivan Toney,189,Brentford,27, FW  ,32(1),2908,5,1.3,22.2,58.9,0.1,0.4,0.3,7.28,12,8,0,2.7,4.5,5,0.7,2.4,0.8,1.3,3.3,1,0.4,1.5,0,1.3,0.8,0.1,0
11,Bernardo Silva,167,Man City,29," M(CLR),FW  ",33(2),2861,4,1.7,53.9,89.6,0.2,1.2,0.1,7.27,8,6,0,1.3,0.2,3,1.5,0.9,0.3,0.7,1.5,1.6,0.6,0.9,0,0.4,1,0.1,0
12,Reece James,15,Chelsea,23," D(CR),DMC,M(R)  ",22(4),1868,9,1.8,53,89.6,0.9,1.7,0,7.24,5,4,1,1.4,0.7,4,1.4,1.2,0.2,0.8,1,1.3,0.7,0.8,0.1,0.7,0.5,0.1,1
13,Ilkay Gündogan,167,Man City,33, M(C)  ,20(7),1856,4,1.4,47,91.2,0.6,2.3,0.2,7.24,8,1,0,2,0.4,1,0.9,0.4,0.1,0.7,0.9,0.9,0.6,0.5,0,0.4,0.7,0,0
14,Andy Robertson,26,Liverpool,29," D(L),M(L)  ",29,2541,10,1.9,66.5,85.2,1.6,2,0,7.23,3,5,1,0.6,0.9,2,0.4,0.3,0.1,0.5,0.8,1.2,0.8,0.7,0.5,1.8,0.5,0.1,0
15,Raheem Sterling,167,Man City,28," M(CLR),FW  ",23(7),2127,5,1.4,27.3,85.4,0.3,0.2,0,7.20,13,1,0,1.9,0.1,4,1.8,1.2,0.3,1.8,2.1,0.8,0.4,0.6,0,0.1,0.4,0,0
16,Gabriel Jesus,167,Man City,26," AM(LR),FW  ",21(7),1880,8,1.4,26.4,84.8,0.1,0.4,0.1,7.19,8,1,0,2.3,0.8,6,1.6,0.9,0.4,1,2.4,0.6,0.5,0.9,0,0.2,0.7,0,0
17,Mason Mount,15,Chelsea,24, M(CLR)  ,27(5),2365,10,1.8,34.8,85.4,1.3,0.7,0.2,7.19,11,4,0,2.4,0.2,7,0.6,0.7,0.2,1.1,2.2,1.3,0.4,0.9,0,0.3,0.8,0,0
18,Virgil van Dijk,26,Liverpool,32, D(C)  ,34,3060,1,0.3,77.8,89.5,0,4.9,0,7.18,3,3,0,1,3.4,0,0.2,0.2,0,0.1,0.1,0.5,0.9,0.3,1.3,3.1,0.1,0.4,0
19,John McGinn,24,Aston Villa,29, M(CLR)  ,35,3092,4,1.5,35.5,79.5,0.9,3.3,0.2,7.17,3,8,0,1.2,0.7,4,1.3,2.3,0,0.8,1.4,3,1,1.6,0,0.8,1.4,0.2,0
20,Jack Grealish,167,Man City,28," AM(CL),FW  ",22(4),1917,3,2,35.7,88.4,0.3,0.5,0.1,7.16,3,3,0,1.7,0.5,0,1.5,2.1,0.2,1.1,1.2,0.7,0.3,0.7,0,0.2,0.3,0,0
21,Pierre-Emile Højbjerg,30,Tottenham,28, M(C)  ,36,3199,2,0.7,70.3,89.7,0.1,3.7,0.1,7.16,2,3,0,0.9,0.6,1,1.2,1.1,0,0.6,0.9,2.2,1.3,0.8,0,1.4,1.3,0.4,0
22,Jarrod Bowen,29,West Ham,26," AM(CLR),FW  ",34(2),2993,10,1.1,19.8,76.2,0.8,1,0.1,7.14,12,6,0,2.2,1.1,4,1.4,1.2,0.4,1.4,1.8,1,0.6,0.7,0,0.2,0.8,0.1,0
23,Cristiano Ronaldo,32,Man Utd,38," M(L),FW  ",27(3),2459,3,0.9,29.3,81.9,0,0.5,0,7.11,18,8,0,3.7,1.4,5,0.7,0.6,1.1,1,1.7,0.3,0.1,0.5,0,1,0.1,0,0
