,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Erling Haaland,167,Man City,22, FW  ,15(1),1311,3,1,14.1,75.7,0,0.1,0.1,7.79
1,Kieran Trippier,23,Newcastle,32," D(LR),M(R)  ",18,1597,4,2.6,50.2,75.9,3.7,3.5,0.3,7.70
2,Kevin De Bruyne,167,Man City,31," M(CLR),FW  ",16(1),1405,9,3.5,44.9,79.9,2.4,2.9,0.5,7.68
3,Gabriel Jesus,13,Arsenal,25," AM(LR),FW  ",14,1226,5,1.6,27.6,81.9,0.1,0.5,0.1,7.59
4,Harry Kane,30,Tottenham,29," AM(C),FW  ",18,1608,1,1.7,22.4,71.7,0.2,1.7,0.1,7.55
5,Martin Ødegaard,13,Arsenal,24, AM(CR)  ,16,1350,5,2.3,42.2,81.8,0.7,1.5,0.3,7.49
6,Aleksandar Mitrovic,170,Fulham,28, FW  ,15,1286,1,0.9,20.6,60.5,0.1,1,0.1,7.45
7,Rodri,167,Man City,26," D(C),DMC  ",16,1391,3,1.1,93,90.8,0,5.3,0.1,7.39
8,James Maddison,14,Leicester,26, AM(CLR)  ,13,1100,4,2.4,39.9,84.2,0.8,2.4,0.1,7.39
9,Bukayo Saka,13,Arsenal,21," D(L),M(CLR)  ",17,1449,6,2.2,30.8,83.6,1.2,1.1,0,7.37
0,Bruno Guimarães,23,Newcastle,25, DMC  ,15,1269,3,1.1,49.9,83,0.1,3.3,0.2,7.36
1,Ivan Toney,189,Brentford,26, FW  ,16,1440,3,1.1,22.9,63.7,0.2,0.4,0.2,7.35
2,Gabriel Martinelli,13,Arsenal,21," AM(L),FW  ",17,1455,2,1.6,27.3,83.6,0.4,1.5,0.1,7.34
3,Rodrigo Bentancur,30,Tottenham,25, M(C)  ,13(1),1186,2,0.6,48.9,86.1,0.3,1.6,0.1,7.32
4,Joelinton,23,Newcastle,26," AM(CLR),FW  ",15(1),1330,1,1.1,34.6,81.9,0.3,0.8,0.1,7.29
5,Casemiro,32,Man Utd,30, DMC  ,10(4),979,2,0.9,49.8,80.5,0.2,3.4,0.1,7.25
6,Bruno Fernandes,32,Man Utd,28, M(CLR)  ,16,1440,3,2.8,48.1,78.8,0.6,2.8,0.5,7.25
7,Roberto Firmino,26,Liverpool,31," M(CLR),FW  ",11(2),937,3,1.3,32.4,79.6,0.1,0.5,0.3,7.20
8,Thomas Partey,13,Arsenal,29," D(R),M(CR)  ",14,1215,0,0.9,65.5,86.5,0,3.6,0.1,7.20
9,Phil Foden,167,Man City,22," AM(CLR),FW  ",12(5),991,3,1.3,32.6,85,1.2,0.6,0.1,7.17
0,Miguel Almirón,23,Newcastle,28," AM(CLR),FW  ",18,1499,1,0.8,29.1,84,0.2,0.5,0,7.16
1,Fabian Schär,23,Newcastle,31, D(C)  ,17,1515,0,0.6,48.1,75.1,0.1,4.1,0.1,7.15
2,Pierre-Emile Højbjerg,30,Tottenham,27, M(C)  ,17,1513,2,0.9,67.5,89.1,0.2,4.3,0.2,7.13
3,Son Heung-Min,30,Tottenham,30," M(CLR),FW  ",15(1),1305,2,1.9,23.3,80.4,1.1,0.4,0,7.10
4,Jack Grealish,167,Man City,27," AM(CL),FW  ",8(3),741,3,1.7,33.5,88.6,0.2,0.8,0,7.10
5,Bernd Leno,170,Fulham,30, GK  ,16,1440,0,0.1,30.9,76.1,0,4.8,0,7.10
6,Solly March,211,Brighton,28, M(CLR)  ,17,1457,3,1.3,33,77.5,1.1,1.9,0,7.09
7,Bernardo Silva,167,Man City,28," M(CLR),FW  ",14(2),1215,5,1.4,48.8,90,0.4,2.5,0.1,7.06
8,João Cancelo,167,Man City,28," D(LR),M(R)  ",15(1),1189,1,0.7,63.7,87,0.7,2.4,0,7.05
9,João Palhinha,170,Fulham,27, DMC  ,17,1508,0,0,34.9,83.3,0,2.5,0,7.05
0,Granit Xhaka,13,Arsenal,30," D(L),M(C)  ",17,1439,4,1.5,45.3,85.7,0.1,2.2,0.1,7.02
1,Dejan Kulusevski,30,Tottenham,22," AM(CR),FW  ",8(2),705,5,1.9,24.6,82.5,0.5,0.3,0.1,7.01
2,Ilkay Gündogan,167,Man City,32, M(C)  ,12(3),1077,2,1.7,45.7,88.9,0.3,2.1,0.3,7.01
3,Mohamed Salah,26,Liverpool,30," AM(CLR),FW  ",17,1509,4,2.1,25.5,76.5,0.2,0.5,0.1,7.01
4,Thiago Silva,15,Chelsea,38, D(C)  ,14(1),1343,2,0.2,78.6,90.4,0,5.4,0,7.00
5,Pascal Struijk,19,Leeds,23," D(CL),DMC  ",16,1435,1,0.8,43.3,79.5,0.3,0.6,0,7.00
6,Alisson,26,Liverpool,30, GK  ,17,1530,1,0.1,30.3,81.7,0,4.7,0,6.99
7,Alexis Mac Allister,211,Brighton,24," M(CL),FW  ",14(1),1285,0,0.9,55.4,88.9,0.4,2.1,0,6.99
