,player_name,team_number,team_name,age,position,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,sub
9,Sofiane Boufal,18,Southampton,28,", AM(CLR),FW",8,760,0.8,0.2,1.3,0,0,0.5,0,0,6.52,12
0,Ben Foster,27,Watford,38,", GK",38,3420,0,0,0.1,0,0.8,0.1,0,0,6.52,0
1,Harry Wilson,183,Bournemouth,24,", AM(CLR)",20,1654,0.7,0.4,0.4,0,0.4,0.7,0.1,0,6.52,11
2,Martín Montoya,211,Brighton,30,", D(LR),M(R)",23,1901,2.1,0.9,1,0.2,1.1,1,0.2,0,6.52,4
3,Christian Eriksen,30,Tottenham,29,", M(CLR)",10,1092,1,0.6,0.5,0,0.7,0.9,0.1,0,6.51,10
4,Andriy Yarmolenko,29,West Ham,31,", AM(R),FW",10,990,0.6,0.3,0.7,0,0.2,0.7,0,0,6.51,13
5,Conor Coady,161,Wolves,28,", D(CR),DMC",38,3420,0.9,0.7,0.4,0.4,3.1,0.4,0.4,0,6.51,0
6,Callum Wilson,183,Bournemouth,29,", FW",32,2911,0.3,0.1,1.6,0,0.5,0.4,0.1,0,6.51,3
7,Alexander Tettey,168,Norwich,35,", M(C)",28,2352,0.8,1.4,0.7,0,2.2,0.9,0.3,0,6.51,2
8,Onel Hernández,168,Norwich,28,", AM(CLR),FW",14,1381,1,0.7,0.5,0,0.3,0.8,0,0,6.50,12
9,Sead Kolasinac,13,Arsenal,28,", D(CL),DMC,M(L)",19,1700,1.1,1,0.8,0.1,1.3,0.4,0.2,0,6.50,7
0,Demarai Gray,14,Leicester,25,", AM(CLR),FW",3,609,0.6,0.2,0.1,0,0.1,0.3,0,0,6.49,18
1,Dwight Gayle,23,Newcastle,31,", AM(LR),FW",10,849,0.6,0.1,0.3,0,0.5,0.2,0,0,6.48,10
2,Pablo Fornals,29,West Ham,25,", M(CLR)",24,2179,1.3,0.7,0.5,0,0.2,1.3,0,0,6.48,12
3,Lys Mousset,163,Sheff Utd,25,", FW",11,1235,0.3,0.1,0.8,0,0.1,0.1,0,0,6.48,19
4,Marvelous Nakamba,24,Aston Villa,27,", DMC",19,1836,1.9,1.3,0.9,0,1.1,1.5,0.4,0,6.47,10
5,Ezri Konsa,24,Aston Villa,23,", D(CR)",24,2044,0.7,1,0.7,0.2,2.6,0.4,1,0,6.47,1
6,Tom Davies,31,Everton,23,", M(C)",23,2057,1.3,1.2,1,0,0.9,1.3,0.1,0,6.47,7
7,Theo Walcott,31,Everton,32,", M(CLR),FW",17,1297,0.5,0.3,0.4,0,0,0.5,0,0,6.46,8
8,Jamal Lewis,168,Norwich,23,", D(L),M(L)",25,2304,1.8,0.9,0.5,0.1,2,0.5,0.4,0,6.46,3
9,Che Adams,18,Southampton,25,", AM(CL),FW",12,1107,0.2,0.1,0.6,0,0.3,0.1,0,0,6.45,18
0,Pedro Neto,161,Wolves,21,", AM(CLR),FW",9,929,0.3,0.2,0.5,0,0.1,0.4,0,0,6.45,20
1,Ben Godfrey,168,Norwich,23,", D(CLR)",30,2646,0.7,0.8,0.5,0.3,4.9,0.3,1.2,1,6.45,0
2,Dan Gosling,183,Bournemouth,31,", M(C)",14,1262,1.1,0.8,0.9,0,0.9,0.9,0.5,0,6.43,10
3,Divock Origi,26,Liverpool,26,", AM(LR),FW",7,706,0.4,0.1,0.4,0,0.2,0.2,0,0,6.42,21
4,James McCarthy,162,Crystal Palace,30,", M(C)",16,1673,2.5,0.7,0.9,0,0.3,1.1,0.2,0,6.42,17
5,Dominic Solanke,183,Bournemouth,24,", FW",17,1645,0.3,0.3,0.5,0,0.5,0.9,0,0,6.41,15
6,Nathaniel Chalobah,27,Watford,26,", DMC",10,926,1.4,0.8,0.3,0,0.8,0.7,0.2,0,6.41,12
7,Jordan Pickford,31,Everton,27,", GK",38,3450,0,0.1,0,0,0.6,0.1,0,0,6.40,0
8,Dennis Praet,14,Leicester,27,", AM(CR)",12,1135,1.2,0.6,0.7,0,0.4,0.7,0,0,6.39,15
9,Sean Longstaff,23,Newcastle,23,", DMC",14,1373,1.5,0.8,0.7,0,0.9,1.3,0.2,0,6.37,9
0,Aaron Connolly,211,Brighton,21,", FW",14,1266,0.3,0,0.7,0,0.1,0.3,0,0,6.37,10
1,Kepa Arrizabalaga,15,Chelsea,27,", GK",33,2970,0,0,0,0,0.4,0,0,0,6.36,0
2,Hamza Choudhury,14,Leicester,24,", DMC",10,889,0.9,1.2,0.6,0,0.6,1.1,0.3,0,6.35,10
3,Roberto Pereyra,27,Watford,30,", M(CLR),FW",17,1653,0.7,0.5,0.8,0,0.2,0.7,0,0,6.35,11
4,Michael Obafemi,18,Southampton,21,", FW",8,663,0.3,0.3,0.5,0,0,0.6,0,0,6.34,13
5,Billy Sharp,163,Sheff Utd,35,", FW",10,1048,0.2,0,0.8,0,0.1,0.2,0,0,6.34,15
6,Moise Kean,31,Everton,21,", FW",6,866,0.2,0.2,0.9,0,0,0,0,0,6.32,23
7,Joseph Willock,13,Arsenal,22,", M(C)",8,849,0.9,0.1,0.3,0,0.3,0.4,0.1,0,6.31,21
8,Lewis Cook,183,Bournemouth,24,", M(CL)",14,1346,1,0.6,0.9,0,0.6,1.4,0.2,0,6.31,13
9,Jesse Lingard,32,Man Utd,28,", AM(CLR),FW",9,932,0.7,0.1,1.3,0,0,0.6,0,0,6.30,13
0,Adrian Mariappa,27,Watford,35,", D(CR)",15,1509,1,0.6,1,0.4,3.4,1,0.4,1,6.25,5
1,Glenn Murray,211,Brighton,38,", FW",7,790,0.2,0,0.7,0,0.5,0.3,0.1,0,6.25,16
2,Marco Stiepermann,168,Norwich,30,", D(L),M(CLR)",14,1189,0.8,0.2,0.9,0,0.7,0.7,0.1,0,6.22,10
3,Mario Vrancic,168,Norwich,32,", M(CL)",6,630,1.4,0.5,0.7,0.1,0.2,0.6,0,0,6.17,14
4,Andre Gray,27,Watford,30,", FW",7,747,0.2,0,0.4,0,0.1,0.1,0,0,6.15,16
5,Josip Drmic,168,Norwich,29,", AM(LR),FW",5,642,0.1,0,0.3,0,0.2,0.4,0,0,6.03,16
