,player_name,team_number,team_name,age,position,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,sub
4,Reece James,15,Chelsea,21,", D(R),DMC,M(R)",16,1514,1.5,0.9,0.9,0.1,0.9,0.8,0.3,0,6.90,8
5,Jonny Evans,14,Leicester,33,", D(CL)",38,3386,1.3,1.5,0.9,0.4,4.5,0.3,0.5,1,6.90,0
6,N'Golo Kanté,15,Chelsea,30,", DMC",20,1733,2,2,2,0,1.4,0.9,0.2,0,6.90,2
7,Gerard Deulofeu,27,Watford,27,", AM(LR),FW",25,2109,1.2,0.9,1,0,0.2,1.7,0,0,6.90,3
8,Philip Billing,183,Bournemouth,25,", M(C)",29,2536,2.1,1.9,1.1,0,2.8,1.4,0.5,0,6.90,5
9,Dan Burn,211,Brighton,29,", D(CL),M(L)",33,2881,2,1.2,0.9,0.3,3.6,0.8,0.6,0,6.90,1
0,Lewis Dunk,211,Brighton,29,", D(C)",36,3231,1.1,1.5,0.5,0.7,3.4,0.5,0.9,0,6.89,0
1,Frédéric Guilbert,24,Aston Villa,26,", D(CLR),M(R)",22,2041,3,2,1.4,0.2,2.4,1.2,0.4,0,6.89,3
2,Oliver McBurnie,163,Sheff Utd,25,", AM(CL),FW",24,2121,1,0.4,0.8,0,1.1,0.8,0.1,0,6.89,12
3,Fabinho,26,Liverpool,27,", D(CR),DMC",22,2075,2.2,1.2,1.1,0,0.6,1.5,0.1,0,6.89,6
4,Romain Saïss,161,Wolves,31,", D(C),DMC",31,2706,1.7,1.7,1.3,0.3,3.7,0.4,0.5,0,6.88,2
5,Charlie Taylor,184,Burnley,28,", D(L),M(L)",22,1946,1.6,1.2,0.7,0.1,2.6,0.8,0.4,0,6.88,2
6,Bernd Leno,13,Arsenal,29,", GK",30,2650,0,0,0,0,0.9,0.1,0,0,6.88,0
7,Youri Tielemans,14,Leicester,24,", M(C)",32,2834,1.4,0.6,0.9,0,0.3,1.4,0.1,0,6.88,5
8,Ben Mee,184,Burnley,32,", D(CL)",32,2880,1.3,1.3,0.8,0.5,5,0.4,1,0,6.88,0
9,Fred,32,Man Utd,28,", M(C)",23,2189,2.1,1.3,1.4,0,0.9,2.6,0.3,0,6.87,6
0,Dele Alli,30,Tottenham,25,", M(CL),FW",21,1854,1.4,0.7,0.5,0,0.6,1,0.1,0,6.87,4
1,Dominic Calvert-Lewin,31,Everton,24,", AM(L),FW",30,2660,0.2,0.2,1.6,0,1,0.3,0.1,0,6.87,6
2,John Fleck,163,Sheff Utd,30,", DMC",28,2518,1.2,0.8,0.8,0,0.7,1.4,0.1,0,6.86,2
3,Phil Foden,167,Man City,21,", AM(CLR),FW",9,893,0.6,0.3,0.5,0,0.1,0.6,0,0,6.86,14
4,Matt Targett,24,Aston Villa,26,", D(L),M(L)",27,2298,1.9,2,1,0.1,2.4,1.1,0.3,0,6.86,1
5,Fernandinho,167,Man City,36,", D(CR),DMC",26,2399,1.7,0.8,0.9,0.6,2.7,0.6,0.5,1,6.86,4
6,Luke Shaw,32,Man Utd,26,", D(CL),M(L)",20,1764,1.4,1,1,0.2,2.1,0.6,0.3,0,6.85,4
7,Jorginho,15,Chelsea,29,", DMC",27,2384,2.1,2.1,0.9,0,0.8,1.8,0.2,0,6.85,4
8,Ross Barkley,15,Chelsea,27,", M(CLR)",13,1104,0.8,0.3,0.4,0,0.3,0.6,0.1,0,6.84,8
9,Dani Ceballos,13,Arsenal,25,", M(CL)",18,1699,1.9,1.3,0.8,0,0.5,1.8,0.1,0,6.84,6
