,0
0,https://1xbet.whoscored.com/Matches/1549668/Live/England-Premier-League-2021-2022-Norwich-Wolverhampton
1,https://1xbet.whoscored.com/Matches/1549662/Live/England-Premier-League-2021-2022-Burnley-Tottenham
2,https://1xbet.whoscored.com/Matches/1549629/Live/England-Premier-League-2021-2022-Aston-Villa-West-Ham
3,https://1xbet.whoscored.com/Matches/1549742/Live/England-Premier-League-2021-2022-Crystal-Palace-West-Ham
4,https://1xbet.whoscored.com/Matches/1549682/Live/England-Premier-League-2021-2022-Manchester-United-Crystal-Palace
5,https://1xbet.whoscored.com/Matches/1549604/Live/England-Premier-League-2021-2022-Liverpool-Manchester-City
6,https://1xbet.whoscored.com/Matches/1549838/Live/England-Premier-League-2021-2022-Wolverhampton-Leeds
7,https://1xbet.whoscored.com/Matches/1549829/Live/England-Premier-League-2021-2022-Aston-Villa-Arsenal
8,https://1xbet.whoscored.com/Matches/1549759/Live/England-Premier-League-2021-2022-Arsenal-Burnley
9,https://1xbet.whoscored.com/Matches/1549791/Live/England-Premier-League-2021-2022-Brighton-Burnley
10,https://1xbet.whoscored.com/Matches/1549658/Live/England-Premier-League-2021-2022-Wolverhampton-West-Ham
11,https://1xbet.whoscored.com/Matches/1549683/Live/England-Premier-League-2021-2022-Newcastle-Burnley
12,https://1xbet.whoscored.com/Matches/1549882/Live/England-Premier-League-2021-2022-Tottenham-Leicester
13,https://1xbet.whoscored.com/Matches/1549746/Live/England-Premier-League-2021-2022-Manchester-United-Wolverhampton
14,https://1xbet.whoscored.com/Matches/1549790/Live/England-Premier-League-2021-2022-Aston-Villa-Watford
15,https://1xbet.whoscored.com/Matches/1549873/Live/England-Premier-League-2021-2022-Crystal-Palace-Leeds
16,https://1xbet.whoscored.com/Matches/1549720/Live/England-Premier-League-2021-2022-Brighton-Brentford
17,https://1xbet.whoscored.com/Matches/1549893/Live/England-Premier-League-2021-2022-Crystal-Palace-Watford
18,https://1xbet.whoscored.com/Matches/1549571/Live/England-Premier-League-2021-2022-Chelsea-Aston-Villa
19,https://1xbet.whoscored.com/Matches/1549859/Live/England-Premier-League-2021-2022-Wolverhampton-Manchester-City
20,https://1xbet.whoscored.com/Matches/1549891/Live/England-Premier-League-2021-2022-Liverpool-Tottenham
21,https://1xbet.whoscored.com/Matches/1549815/Live/England-Premier-League-2021-2022-Norwich-Brentford
22,https://1xbet.whoscored.com/Matches/1549566/Live/England-Premier-League-2021-2022-Tottenham-Watford
23,https://1xbet.whoscored.com/Matches/1549732/Live/England-Premier-League-2021-2022-Watford-West-Ham
24,https://1xbet.whoscored.com/Matches/1549868/Live/England-Premier-League-2021-2022-Aston-Villa-Liverpool
25,https://1xbet.whoscored.com/Matches/1549654/Live/England-Premier-League-2021-2022-Newcastle-Brentford
26,https://1xbet.whoscored.com/Matches/1549706/Live/England-Premier-League-2021-2022-Chelsea-Everton
27,https://1xbet.whoscored.com/Matches/1549725/Live/England-Premier-League-2021-2022-Norwich-Arsenal
28,https://1xbet.whoscored.com/Matches/1549701/Live/England-Premier-League-2021-2022-Brighton-Wolverhampton
29,https://1xbet.whoscored.com/Matches/1549718/Live/England-Premier-League-2021-2022-Wolverhampton-Chelsea
30,https://1xbet.whoscored.com/Matches/1549679/Live/England-Premier-League-2021-2022-Aston-Villa-Leicester
31,https://1xbet.whoscored.com/Matches/1549837/Live/England-Premier-League-2021-2022-Watford-Everton
32,https://1xbet.whoscored.com/Matches/1549638/Live/England-Premier-League-2021-2022-Wolverhampton-Everton
33,https://1xbet.whoscored.com/Matches/1549878/Live/England-Premier-League-2021-2022-Arsenal-Manchester-United
34,https://1xbet.whoscored.com/Matches/1549749/Live/England-Premier-League-2021-2022-Aston-Villa-Manchester-United
35,https://1xbet.whoscored.com/Matches/1549713/Live/England-Premier-League-2021-2022-Newcastle-Manchester-City
36,https://1xbet.whoscored.com/Matches/1549591/Live/England-Premier-League-2021-2022-Chelsea-Manchester-City
37,https://1xbet.whoscored.com/Matches/1549737/Live/England-Premier-League-2021-2022-Manchester-United-Burnley
38,https://1xbet.whoscored.com/Matches/1549904/Live/England-Premier-League-2021-2022-Newcastle-Arsenal
39,https://1xbet.whoscored.com/Matches/1549807/Live/England-Premier-League-2021-2022-Southampton-Norwich
40,https://1xbet.whoscored.com/Matches/1549657/Live/England-Premier-League-2021-2022-Watford-Manchester-United
41,https://1xbet.whoscored.com/Matches/1549795/Live/England-Premier-League-2021-2022-Manchester-City-Tottenham
42,https://1xbet.whoscored.com/Matches/1549649/Live/England-Premier-League-2021-2022-Aston-Villa-Brighton
43,https://1xbet.whoscored.com/Matches/1549754/Live/England-Premier-League-2021-2022-Newcastle-Watford
44,https://1xbet.whoscored.com/Matches/1549560/Live/England-Premier-League-2021-2022-Brighton-Everton
45,https://1xbet.whoscored.com/Matches/1549584/Live/England-Premier-League-2021-2022-Newcastle-Leeds
46,https://1xbet.whoscored.com/Matches/1549590/Live/England-Premier-League-2021-2022-Brentford-Liverpool
47,https://1xbet.whoscored.com/Matches/1549665/Live/England-Premier-League-2021-2022-Leicester-Watford
48,https://1xbet.whoscored.com/Matches/1549677/Live/England-Premier-League-2021-2022-Southampton-Leicester
49,https://1xbet.whoscored.com/Matches/1549897/Live/England-Premier-League-2021-2022-Brentford-Southampton
50,https://1xbet.whoscored.com/Matches/1549887/Live/England-Premier-League-2021-2022-Everton-Chelsea
51,https://1xbet.whoscored.com/Matches/1549772/Live/England-Premier-League-2021-2022-Norwich-Crystal-Palace
52,https://1xbet.whoscored.com/Matches/1549875/Live/England-Premier-League-2021-2022-Burnley-Wolverhampton
53,https://1xbet.whoscored.com/Matches/1549616/Live/England-Premier-League-2021-2022-Norwich-Brighton
54,https://1xbet.whoscored.com/Matches/1549896/Live/England-Premier-League-2021-2022-Brighton-Manchester-United
55,https://1xbet.whoscored.com/Matches/1549842/Live/England-Premier-League-2021-2022-Manchester-United-Leicester
56,https://1xbet.whoscored.com/Matches/1549729/Live/England-Premier-League-2021-2022-Arsenal-Wolverhampton
57,https://1xbet.whoscored.com/Matches/1549561/Live/England-Premier-League-2021-2022-Burnley-Leeds
58,https://1xbet.whoscored.com/Matches/1549601/Live/England-Premier-League-2021-2022-Chelsea-Southampton
59,https://1xbet.whoscored.com/Matches/1549851/Live/England-Premier-League-2021-2022-Norwich-Burnley
60,https://1xbet.whoscored.com/Matches/1549863/Live/England-Premier-League-2021-2022-Southampton-Arsenal
61,https://1xbet.whoscored.com/Matches/1549855/Live/England-Premier-League-2021-2022-Everton-Manchester-United
62,https://1xbet.whoscored.com/Matches/1549685/Live/England-Premier-League-2021-2022-Tottenham-Norwich
63,https://1xbet.whoscored.com/Matches/1549816/Live/England-Premier-League-2021-2022-Tottenham-Everton
64,https://1xbet.whoscored.com/Matches/1549914/Live/England-Premier-League-2021-2022-Crystal-Palace-Manchester-United
65,https://1xbet.whoscored.com/Matches/1549909/Live/England-Premier-League-2021-2022-Arsenal-Everton
66,https://1xbet.whoscored.com/Matches/1549826/Live/England-Premier-League-2021-2022-Manchester-United-Tottenham
67,https://1xbet.whoscored.com/Matches/1549841/Live/England-Premier-League-2021-2022-Tottenham-Newcastle
68,https://1xbet.whoscored.com/Matches/1549582/Live/England-Premier-League-2021-2022-Liverpool-Crystal-Palace
69,https://1xbet.whoscored.com/Matches/1549547/Live/England-Premier-League-2021-2022-Tottenham-Manchester-City
70,https://1xbet.whoscored.com/Matches/1549735/Live/England-Premier-League-2021-2022-Leeds-Aston-Villa
71,https://1xbet.whoscored.com/Matches/1549579/Live/England-Premier-League-2021-2022-Aston-Villa-Everton
72,https://1xbet.whoscored.com/Matches/1549738/Live/England-Premier-League-2021-2022-Southampton-Tottenham
73,https://1xbet.whoscored.com/Matches/1549898/Live/England-Premier-League-2021-2022-Arsenal-Leeds
74,https://1xbet.whoscored.com/Matches/1549675/Live/England-Premier-League-2021-2022-Manchester-United-Arsenal
75,https://1xbet.whoscored.com/Matches/1549693/Live/England-Premier-League-2021-2022-Chelsea-Leeds
76,https://1xbet.whoscored.com/Matches/1549913/Live/England-Premier-League-2021-2022-Chelsea-Watford
77,https://1xbet.whoscored.com/Matches/1549836/Live/England-Premier-League-2021-2022-Tottenham-West-Ham
78,https://1xbet.whoscored.com/Matches/1549894/Live/England-Premier-League-2021-2022-Chelsea-Wolverhampton
79,https://1xbet.whoscored.com/Matches/1549664/Live/England-Premier-League-2021-2022-Crystal-Palace-Aston-Villa
80,https://1xbet.whoscored.com/Matches/1549543/Live/England-Premier-League-2021-2022-Leicester-Wolverhampton
81,https://1xbet.whoscored.com/Matches/1549733/Live/England-Premier-League-2021-2022-Crystal-Palace-Norwich
82,https://1xbet.whoscored.com/Matches/1549794/Live/England-Premier-League-2021-2022-Liverpool-Norwich
83,https://1xbet.whoscored.com/Matches/1549672/Live/England-Premier-League-2021-2022-Watford-Chelsea
84,https://1xbet.whoscored.com/Matches/1549862/Live/England-Premier-League-2021-2022-Tottenham-Brighton
